uniprot	genesymbol	consensus_score	generic_categories	all_categories	ligand_uniprot	ligand_symbol	ligand_references
O96017	CHEK2	1	receptor	intracellular, receptor, transmembrane	O15297, O60934, P04637, P06493, P17252, P33981, P35813, P45983, P49674, P49841, P52292, P53350, P62714, P67775, P67870, P78527, Q00987, Q01094, Q13315, Q13535, Q14676, Q15554, Q9H4B4, Q9NYL2	_NAA10_NAA15, ATM, ATR, CDK1, CSNK1E, CSNK2B, E2F1, GSK3B, KPNA2, MAP3K20, MAPK8, MDC1, MDM2, NBN, PLK1, PLK3, PPM1A, PPM1D, PPP2CA, PPP2CB, PRKCA, PRKDC, TERF2, TP53, TTK	TP53 [BioGRID:10710310;BioGRID:12810724;BioGRID:18833288;HPRD:17157788;IntAct:10724175;IntAct:15862297;IntAct:18833288;ProtMapper:20157537;ProtMapper:24553354], PPM1D [DEPOD:16311512;KEA:10973490;KEA:12855706;ProtMapper:16311512;ProtMapper:23666059;SIGNOR:16311512;SPIKE:16936775;SPIKE:20599567], TERF2 [SPIKE:19375317], KPNA2 [HPRD:12909615;IntAct:12909615;Lit-BM-17:12909615;Lit-BM-17:23178491;SPIKE:12909615], MDM2 [HPRD:15862297;IntAct:15862297], CSNK2B [SPIKE:15940255], ATM [ACSN:10973490;ACSN:11850621;ACSN:11877377;ACSN:12607003;ACSN:12773400;ACSN:15024084;ACSN:15140942;ACSN:15279786;ACSN:15459660;ACSN:15964794;ACSN:16163361;ACSN:16531125;ACSN:17303408;ACSN:17660363;ACSN:18006705;ACSN:18087292;ACSN:18583988;ACSN:18584027;ACSN:18590585;ACSN:18678890;ACSN:18809224;ACSN:19772495;ACSN:19793801;ACSN:20723763;ACSN:21376743;ACSN:22743550;ACSN:23847781;ACSN:24050180;ACSN:7575488;ACSN:9407949;ACSN:9488723;HPRD-phos:10973490;HPRD-phos:11901158;HPRD-phos:12024051;HPRD-phos:12242661;HPRD-phos:12493754;HPRD-phos:16794575;HPRD:10973490;HPRD:11901158;HPRD:12024051;HPRD:12242661;HPRD:12493754;HPRD:16794575;InnateDB:10713094;KEA:10973490;KEA:11901158;KEA:12024051;KEA:12242661;KEA:12493754;KEA:16794575;KEA:17570479;KEA:17918214;ProtMapper:10744722;ProtMapper:10973490;ProtMapper:11025670;ProtMapper:11668173;ProtMapper:11728459;ProtMapper:12024051;ProtMapper:12447382;ProtMapper:12454775;ProtMapper:12718885;ProtMapper:12805407;ProtMapper:15125777;ProtMapper:15140942;ProtMapper:15212693;ProtMapper:15629715;ProtMapper:15694385;ProtMapper:15700044;ProtMapper:16085488;ProtMapper:16481012;ProtMapper:16936775;ProtMapper:16940182;ProtMapper:16997395;ProtMapper:17174984;ProtMapper:17715138;ProtMapper:18603484;ProtMapper:18787700;ProtMapper:18794134;ProtMapper:19101576;ProtMapper:19230643;ProtMapper:19375317;ProtMapper:19440053;ProtMapper:19473886;ProtMapper:19481982;ProtMapper:19607708;ProtMapper:19881958;ProtMapper:20068082;ProtMapper:20080130;ProtMapper:20160490;ProtMapper:20372057;ProtMapper:20396397;ProtMapper:20498628;ProtMapper:20599567;ProtMapper:20637859;ProtMapper:20647331;ProtMapper:20859824;ProtMapper:20860841;ProtMapper:21102523;ProtMapper:21147465;ProtMapper:21315088;ProtMapper:21329876;ProtMapper:21421565;ProtMapper:21772273;ProtMapper:21851590;ProtMapper:22030216;ProtMapper:22319212;ProtMapper:22420423;ProtMapper:22808196;ProtMapper:23006513;ProtMapper:23118481;ProtMapper:23253087;ProtMapper:23347679;ProtMapper:23386996;ProtMapper:23638118;ProtMapper:23666059;ProtMapper:23705030;ProtMapper:23892398;ProtMapper:23941746;ProtMapper:24244353;ProtMapper:24349411;ProtMapper:24473398;ProtMapper:24492479;ProtMapper:24769180;ProtMapper:24798733;ProtMapper:24882580;ProtMapper:25173936;ProtMapper:25247188;ProtMapper:25249630;ProtMapper:25361978;ProtMapper:25404613;ProtMapper:25450480;ProtMapper:25613496;ProtMapper:25714019;ProtMapper:25746763;ProtMapper:25808488;ProtMapper:25954303;ProtMapper:26158765;ProtMapper:26295265;ProtMapper:26442630;ProtMapper:26485758;ProtMapper:26516160;ProtMapper:26610585;ProtMapper:26643553;ProtMapper:26683224;ProtMapper:27271602;ProtMapper:27545311;ProtMapper:27558808;ProtMapper:27568553;ProtMapper:27602502;ProtMapper:28051860;ProtMapper:28259974;ProtMapper:28852018;ProtMapper:28937603;ProtMapper:28950914;ProtMapper:29022904;ProtMapper:29156743;ProtMapper:29304495;ProtMapper:29434792;ProtMapper:29555944;ProtMapper:29741650;SIGNOR:10973490;SIGNOR:12024051;SPIKE:12773400;SPIKE:9889122;dbPTM:15342622;dbPTM:16311512;dbPTM:16481012;iPTMnet:10973490;iPTMnet:11901158;iPTMnet:12024051;iPTMnet:12242661;iPTMnet:12493754;iPTMnet:16794575;phosphoELM:10973490], PLK1 [HPRD-phos:10973490;HPRD-phos:11901158;HPRD-phos:12242661;HPRD-phos:12493754;HPRD:10973490;HPRD:11901158;HPRD:12024051;HPRD:12242661;HPRD:12493754;IntAct:12493754;IntAct:20126263;KEA:10973490;KEA:11901158;KEA:12024051;KEA:12242661;KEA:12493754;ProtMapper:12493754;ProtMapper:18802408;ProtMapper:18804494;ProtMapper:19216791;ProtMapper:24844881;SIGNOR:12493754;SPIKE:20126263;iPTMnet:10973490;iPTMnet:11901158;iPTMnet:12024051;iPTMnet:12242661;iPTMnet:12493754;phosphoELM:12493754], E2F1 [ACSN:12909625;ACSN:15706352;HPRD:12717439], MDC1 [ACSN:11850621;ACSN:11877377;ACSN:12607003;ACSN:15279786;ACSN:15459660;ACSN:15964794;ACSN:16163361;ACSN:16531125;ACSN:17303408;ACSN:17660363;ACSN:18006705;ACSN:18087292;ACSN:18583988;ACSN:18584027;ACSN:18590585;ACSN:18678890;ACSN:18809224;ACSN:19772495;ACSN:19793801;ACSN:20723763;ACSN:21376743;ACSN:22743550;ACSN:23847781;ACSN:24050180;ACSN:7575488;ACSN:9407949;ACSN:9488723;HPRD:12551934;HPRD:12607004;SPIKE:12919958], PPP2CB [DEPOD:15380617;DEPOD:16596250;ProtMapper:16596250;SIGNOR:16596250], PRKDC [KEA:10973490;KEA:12805407;KEA:17570479;PhosphoSite:10973490;PhosphoSite:11025670;PhosphoSite:11085506;PhosphoSite:11390408;PhosphoSite:11668173;PhosphoSite:11901158;PhosphoSite:12024051;PhosphoSite:12386164;PhosphoSite:12447371;PhosphoSite:12447382;PhosphoSite:12493754;PhosphoSite:12607003;PhosphoSite:12607004;PhosphoSite:12805407;PhosphoSite:12855706;PhosphoSite:15096610;PhosphoSite:15213307;PhosphoSite:15282313;PhosphoSite:15361851;PhosphoSite:15367709;PhosphoSite:15618221;PhosphoSite:15668230;PhosphoSite:15674326;PhosphoSite:15829965;PhosphoSite:15975956;PhosphoSite:16024600;PhosphoSite:16150728;PhosphoSite:16794575;PhosphoSite:16798742;PhosphoSite:16936775;PhosphoSite:16940182;PhosphoSite:16982735;PhosphoSite:17237275;PhosphoSite:18644861;PhosphoSite:18948271;PhosphoSite:19151762;PhosphoSite:20160490;PhosphoSite:20305300;PhosphoSite:20406977;PhosphoSite:20498628;PhosphoSite:20501833;PhosphoSite:20660628;PhosphoSite:20713355;PhosphoSite:21099343;PhosphoSite:21482692;PhosphoSite:21731742;PhosphoSite:22669845;PhosphoSite:23684611;PhosphoSite:24415760;PhosphoSite:24421316;PhosphoSite:25361978;PhosphoSite:26505995;PhosphoSite:26929199;PhosphoSite:27818175;PhosphoSite:28750002;PhosphoSite:30001349;PhosphoSite:31609975;PhosphoSite:31959038;PhosphoSite:33747205;PhosphoSite:33851958;PhosphoSite:33870196;PhosphoSite:33879618;PhosphoSite:33901880;PhosphoSite:33961649;PhosphoSite:34244606;ProtMapper:15668230;ProtMapper:20599567;ProtMapper:23380594;ProtMapper:24492479;ProtMapper:24844881;ProtMapper:25550082;ProtMapper:28750002;SIGNOR:15668230;iPTMnet:15668230], TTK [KEA:10973490;ProtMapper:15618221;ProtMapper:19151762;ProtMapper:27885363;SIGNOR:15618221;SIGNOR:19151762;iPTMnet:15618221;phosphoELM:15618221], PPP2CA [BioGRID:16596250;DEPOD:15380617;DEPOD:16596250;ProtMapper:16596250;SIGNOR:16596250], ATR [ACSN:11877377;ACSN:15459660;ACSN:15798197;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:19282663;ACSN:19622404;ACSN:19793801;HPRD:10973490;HPRD:11715017;HPRD:12024051;HPRD:12493754;HPRD:9857181;KEA:10973490;KEA:12024051;KEA:12493754;ProtMapper:10973490;ProtMapper:16481012;ProtMapper:18802408;ProtMapper:19658174;ProtMapper:19836377;ProtMapper:20599567;ProtMapper:20647331;ProtMapper:20859824;ProtMapper:21722802;ProtMapper:23137030;ProtMapper:26442630;ProtMapper:26683224;ProtMapper:27545311;ProtMapper:29741650;SIGNOR:10973490;iPTMnet:10973490;iPTMnet:12024051;iPTMnet:12493754], PLK3 [BioGRID:16481012;HPRD-phos:10973490;HPRD-phos:11901158;HPRD-phos:12242661;HPRD-phos:12493754;HPRD:10973490;HPRD:11901158;HPRD:12242661;HPRD:12493754;KEA:10973490;KEA:11901158;KEA:12242661;KEA:12493754;PhosphoSite:16481012;PhosphoSite:17918214;ProtMapper:16481012;ProtMapper:25404613;dbPTM:16481012;iPTMnet:10973490;iPTMnet:11901158;iPTMnet:12242661;iPTMnet:12493754;iPTMnet:16481012;iPTMnet:21376736], MAP3K20 [KEA:10973490;ProtMapper:15342622;dbPTM:15342622;dbPTM:16311512;dbPTM:16481012], CDK1 [KEA:17570479], CSNK1E [KEA:17570479], GSK3B [KEA:17570479], MAPK8 [KEA:17570479], PPM1A [KEA:10973490;KEA:12855706;KEA:15213307], PRKCA [KEA:17570479], NBN [ACSN:10973490;ACSN:11850621;ACSN:11877377;ACSN:12607003;ACSN:12773400;ACSN:15024084;ACSN:15140942;ACSN:15279786;ACSN:15459660;ACSN:15964794;ACSN:16163361;ACSN:16531125;ACSN:17303408;ACSN:17660363;ACSN:18006705;ACSN:18087292;ACSN:18583988;ACSN:18584027;ACSN:18590585;ACSN:18678890;ACSN:18809224;ACSN:19772495;ACSN:19793801;ACSN:20723763;ACSN:21376743;ACSN:22743550;ACSN:23847781;ACSN:24050180;ACSN:7575488;ACSN:9407949;ACSN:9488723;HPRD:11438675;ProtMapper:15140942]
Q99884	SLC6A7	1	receptor, transporter	cell_surface, receptor, transmembrane, transporter	NA	NA	NA
Q13233	MAP3K1	1	receptor	intracellular, receptor	O14920, O15111, O15169, O95819, P00519, P01112, P01116, P27361, P28482, P49841, P60953, P63000, P67775, Q02750, Q12851, Q12933, Q13153, Q13546, Q15208, Q4V328, Q8IVH8, Q92918, Q99558, Q9BQ95, Q9UPT6, Q9Y4K4	ABL1, AXIN1, CDC42, CHUK, ECSIT, GRIPAP1, GSK3B, HRAS, IKBKB, KRAS, MAP2K1, MAP3K14, MAP4K1, MAP4K2, MAP4K3, MAP4K4, MAP4K5, MAPK1, MAPK3, MAPK8IP3, PAK1, PPP2CA, RAC1, RIPK1, STK38, TRAF2	GSK3B [SPIKE:12584189], STK38 [SPIKE:17906693], ABL1 [SPIKE:10866655;SPIKE:20841568], CDC42 [NetPath:9305638;ProtMapper:7600581;ProtMapper:9487126;SPIKE:7601337;SPIKE:9305638;SignaLink3:17161586;SignaLink3:23109003], AXIN1 [CA1:11408485;CA1:12878610;NetPath:15262978;SIGNOR:10829020;SPIKE:20128690;SignaLink3:10575011;SignaLink3:10829020;SignaLink3:11884395;SignaLink3:21071413;SignaLink3:23331499], MAPK3 [Lit-BM-17:24135036;Lit-BM-17:25241761], MAP4K2 [NetPath:11784851;ProtMapper:9712898;SIGNOR:9712898;SignaLink3:23331499;SignaLink3:7515885], KRAS [ProtMapper:12228228;ProtMapper:8649450;SIGNOR:12228228;SIGNOR:7744823;SIGNOR:8649450;SignaLink3:23331499;SignaLink3:8649450;iPTMnet:12228228;iPTMnet:8649450], MAP4K4 [ProtMapper:9712898;SIGNOR:8824585;SignaLink3:23331499;SignaLink3:8824585], MAP4K1 [InnateDB:8824585;SIGNOR:8824585;SignaLink3:23331499;SignaLink3:9003777], MAP4K5 [ProtMapper:9712898;SignaLink3:23331499;SignaLink3:9405407], MAPK8IP3 [SIGNOR:10523642;SignaLink3:10523642;SignaLink3:23331499], MAP4K3 [ProtMapper:9712898;SIGNOR:9820741;SignaLink3:11316611;SignaLink3:23331499], MAPK1 [HPRD:10969079;InnateDB:10969079], MAP3K14 [CA1:9135144], IKBKB [InnateDB:9819420], ECSIT [Macrophage:10465784], CHUK [InnateDB:10713178;InnateDB:18182252], GRIPAP1 [SIGNOR:17761173], TRAF2 [Lit-BM-17:10346818;Lit-BM-17:16636664;Lit-BM-17:25241761;Lit-BM-17:25260751;NetPath:10346818;SIGNOR:10346818;SIGNOR:18635759], RIPK1 [NetPath:11369754;ProtMapper:11369754;SIGNOR:11369754;iPTMnet:11369754], PAK1 [InnateDB:12228228;KEA:12228228;PhosphoSite:12228228;ProtMapper:12228228;ProtMapper:24699410;SIGNOR:12228228;iPTMnet:12228228], MAP2K1 [InnateDB:10969079;InnateDB:12456688;NetPath:8385802], PPP2CA [KEA:12228228], HRAS [NetPath:7744823], RAC1 [NetPath:9305638;ProtMapper:7600581;ProtMapper:7600582;ProtMapper:7992057;ProtMapper:9305638;ProtMapper:9487126;ProtMapper:9733714]
A6NFX1	MFSD2B	1	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
P0C7Q6	SLC35G6	1	receptor, transporter	receptor, transmembrane, transporter	NA	NA	NA
Q6NUK1	SLC25A24	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
A0A0J9YX06	TRBJ1-2	1	receptor	plasma_membrane, receptor	NA	NA	NA
Q9NXE4	SMPD4	1	receptor	intracellular, plasma_membrane, receptor, transmembrane, transmembrane_predicted	NA	NA	NA
Q9UBE8	NLK	1	receptor	intracellular, receptor	O43318, P41221, Q9H2X6, Q9NPG1	FZD3, HIPK2, MAP3K7, WNT5A	MAP3K7 [Lit-BM-17:15764709;Lit-BM-17:20194509;Lit-BM-17:25241761;NetPath:15764709;SIGNOR:12482967;SPIKE:10377264;SPIKE:10391247;SPIKE:10823839;SPIKE:11071635;SPIKE:11404460;SPIKE:12709429;SPIKE:15082531;SPIKE:15640443;SPIKE:7693453;SignaLink3:10391247;SignaLink3:23331499], WNT5A [SignaLink3:20706670;SignaLink3:23331499], FZD3 [SIGNOR:20828404], HIPK2 [ACSN:14567915;ACSN:15082531;ACSN:15526030;ACSN:15708980;ACSN:17666529;ACSN:18974774;ACSN:20307497;ACSN:21118996;ACSN:21285352;ACSN:22236966;CancerCellMap:15082531;HPRD:15082531;Lit-BM-17:15082531]
Q9UGF5	OR14J1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q32MK0	MYLK3	1	receptor	intracellular, receptor	NA	NA	NA
P23921	RRM1	1	receptor	intracellular, receptor	P24941, P42345, Q7LG56	CDK2, MTOR, RRM2B	RRM2B [DIP:12615712;HPRD:11517226;HPRD:14583450;Lit-BM-17:14583450;Lit-BM-17:20159953;SIGNOR:14583450;SPIKE:14583450], CDK2 [PhosphoSite:32712628], MTOR [PhosphoSite:34126361]
Q70Z44	HTR3D	3	receptor, transporter	cell_surface, extracellular, ion_channel, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
Q8IZR5	CMTM4	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
Q9H5Y7	SLITRK6	1	adhesion, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	P23468, Q13332	PTPRD, PTPRS	PTPRS [Cellinker:32589946], PTPRD [Cellinker:32589946]
Q9NYW4	TAS2R5	4	receptor	receptor, transmembrane	NA	NA	NA
Q15831	STK11	1	receptor	intracellular, receptor	O75582, P06239, P06241, P17252, P17612, P23443, P27361, P28482, P51812, P54646, P78527, Q05513, Q13315, Q15349, Q15418, Q7KZI7, Q7RTN6, Q9UK32, Q9UKG1	APPL1, ATM, FYN, LCK, MAPK1, MAPK3, MARK2, PRKAA2, PRKACA, PRKCA, PRKCZ, PRKDC, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA5, RPS6KA6, RPS6KB1, STRADA	ATM [ACSN:12234250;ACSN:20160076;HPRD-phos:11853558;HPRD-phos:12234250;HPRD:11853558;HPRD:12234250;KEA:11853558;KEA:12234250;KEA:17570479;ProtMapper:12234250;ProtMapper:18971907;ProtMapper:20864035;ProtMapper:21191146;ProtMapper:25244018;ProtMapper:25329316;ProtMapper:25488815;ProtMapper:29284117;SIGNOR:12234250;SPIKE:12234250;SPIKE:20160076;dbPTM:12805220;iPTMnet:11853558;iPTMnet:12234250;phosphoELM:12234250], MARK2 [HPRD:14976552], STRADA [HPRD:12805220;IntAct:12805220;IntAct:15733851;IntAct:25241761;Lit-BM-17:12805220;Lit-BM-17:14676191;Lit-BM-17:15561763;Lit-BM-17:15733851;Lit-BM-17:19513107;Lit-BM-17:20562859;Lit-BM-17:21860411;Lit-BM-17:25241761;Lit-BM-17:25852190;ProtMapper:17482549;SIGNOR:12805220], APPL1 [SIGNOR:19520843], PRKACA [HPRD-phos:11297520;HPRD-phos:11853558;HPRD:11297520;HPRD:11853558;KEA:11297520;KEA:11853558;KEA:17482549;ProtMapper:10642527;ProtMapper:11297520;ProtMapper:17482548;ProtMapper:17482549;SIGNOR:11297520;iPTMnet:11297520;iPTMnet:11853558], MAPK3 [ProtMapper:25846811;SIGNOR:25846811;iPTMnet:25846811], MAPK1 [ProtMapper:25679014;ProtMapper:25846811;SIGNOR:25846811;iPTMnet:25846811], PRKCZ [KEA:11853558;ProtMapper:16407220;ProtMapper:18250273;ProtMapper:18321849;ProtMapper:19414597;SIGNOR:18250273;SIGNOR:19414597;iPTMnet:18250273;iPTMnet:18321849;iPTMnet:19414597], RPS6KA1 [KEA:11297520;KEA:11853558;ProtMapper:25846811;ProtMapper:28522753;SIGNOR:25846811;iPTMnet:11297520;iPTMnet:25846811], PRKAA2 [HPRD:10642499], RPS6KA3 [HPRD-phos:11297520;HPRD-phos:11853558;HPRD:11297520;HPRD:11853558;KEA:11297520;KEA:11853558;KEA:17570479;iPTMnet:11297520;iPTMnet:11853558], RPS6KB1 [HPRD-phos:11297520;HPRD-phos:11853558;HPRD:11297520;HPRD:11853558;KEA:11297520;KEA:11853558;iPTMnet:11297520;iPTMnet:11853558], PRKCA [KEA:17570479], PRKDC [ACSN:12234250;ACSN:20160076;KEA:17570479;ProtMapper:12234250;iPTMnet:12234250], RPS6KA2 [KEA:11297520;KEA:11853558], RPS6KA5 [HPRD:11297520;KEA:11297520;KEA:11853558;iPTMnet:11297520], RPS6KA6 [iPTMnet:11297520], LCK [ProtMapper:28625738;iPTMnet:21487392], FYN [ProtMapper:20142099;ProtMapper:21428801;ProtMapper:24586906;ProtMapper:27416781;iPTMnet:20142099]
A1A5C7	SLC22A23	1	receptor, transporter	cell_surface, intracellular, receptor, transmembrane, transporter	NA	NA	NA
P34903	GABRA3	3	receptor, transporter	cell_surface, extracellular, intracellular, ion_channel, plasma_membrane, receptor, transmembrane, transporter	Q8TAB3	PCDH19	PCDH19 [SIGNOR:29360992]
Q8NGZ6	OR6F1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
A0A0C4DH31	IGHV1-18	1	receptor	cell_surface, extracellular, plasma_membrane, receptor, secreted	NA	NA	NA
P49019	HCAR3	5	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
O95819	MAP4K4	1	receptor	intracellular, receptor, transmembrane	O43318, P06493, P10114, P16333, P19784, P30086, P45983, P45984, P49841, Q13976	CDK1, CSNK2A2, GSK3B, MAP3K7, MAPK8, MAPK9, NCK1, PEBP1, PRKG1, RAP2A	MAP3K7 [HPRD:10807933;InnateDB:10807933], PEBP1 [SignaLink3:11585904;SignaLink3:23331499], CDK1 [KEA:17570479], CSNK2A2 [KEA:17570479], GSK3B [KEA:17570479], MAPK8 [KEA:17570479], MAPK9 [KEA:17570479], PRKG1 [KEA:17570479], NCK1 [HPRD:10805734;HPRD:9135144], RAP2A [HPRD:14966141]
P35368	ADRA1B	6	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	P09172, P17252, P51812	DBH, PRKCA, RPS6KA3	PRKCA [HPRD:9353340;KEA:17570479;KEA:9353340;ProtMapper:9353340;SIGNOR:9353340;iPTMnet:9353340], DBH [NA], RPS6KA3 [KEA:17570479]
Q8NG95	OR7G3	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q9NS86	LANCL2	1	receptor	intracellular, plasma_membrane, receptor, transmembrane	NA	NA	NA
P48023	FASLG	1	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, receptor, secreted, transmembrane, transmembrane_predicted	O43524, O95407, P04637, P06239, P06241, P12931, P18146, P27986, P42224, P45983, Q12923	EGR1, FOXO3, FYN, LCK, MAPK8, PIK3R1, PTPN13, SRC, STAT1, TNFRSF6B, TP53	TP53 [SPIKE:10969818], FOXO3 [ACSN:10102273;ACSN:10783894;ACSN:11094066;ACSN:11154281;ACSN:11994454;ACSN:15509806;ACSN:16288288;ACSN:17646672;ACSN:18644865;ACSN:20673124;SPIKE:10102273;SPIKE:14976264;SPIKE:16865280], STAT1 [SPIKE:12108949], EGR1 [SPIKE:11909874], TNFRSF6B [BioGRID:9872321;HPMR:14697332;HPRD:10318773;HPRD:11994433;HPRD:9872321;SIGNOR:10318773], FYN [BioGRID:7589480;HPRD:7589480;InnateDB:11741599;Lit-BM-17:11741599;Lit-BM-17:17164290;Lit-BM-17:19807924;Lit-BM-17:25241761;Lit-BM-17:7589480], MAPK8 [Lit-BM-17:15659383;Lit-BM-17:25241761], PIK3R1 [HPRD:11741599;Lit-BM-17:19807924;Lit-BM-17:25241761], LCK [HPRD:11741599], SRC [HPRD:11741599], PTPN13 [HPRD:16498403;HPRD:9261095]
Q8TBB6	SLC7A14	1	receptor, transporter	intracellular, receptor, transmembrane, transporter	NA	NA	NA
Q8NGG3	OR5T3	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q96NR3	PTCHD1	1	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
P68371	TUBB4B	1	ecm, receptor	ecm, intracellular, receptor	Q14980	NUMA1	NUMA1 [SIGNOR:11956313]
Q92813	DIO2	1	receptor	intracellular, receptor, transmembrane, transmembrane_predicted	P60604, Q9Y385	UBE2G2, UBE2J1	UBE2J1 [SIGNOR:29892818], UBE2G2 [SIGNOR:29892818]
P21854	CD72	12	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, intracellular, ligand, plasma_membrane, receptor, transmembrane, transmembrane_predicted	P07948, P12314, P12318, P29350, Q92854	FCGR1A, FCGR2A, LYN, PTPN6, SEMA4D	PTPN6 [HPRD:15588985;HPRD:9590210;HPRD:9740800;NetPath:11356834;SIGNOR:9740800], SEMA4D [Baccin2019:11114375;Baccin2019:12882840;CellChatDB:22325954;CellTalkDB:11114375;Cellinker:11114375;Cellinker:12882840;Cellinker:22325954;HPRD:11114375;HPRD:12882840;ICELLNET:29971044;LRdb:11114375;LRdb:13;connectomeDB2020:11114375;connectomeDB2020:12882840], FCGR1A [Cellinker:32822567], FCGR2A [Cellinker:32822567], LYN [InnateDB:9590210;iPTMnet:9590210]
Q86YL7	PDPN	1	cell_surface_ligand, receptor	cell_surface, cell_surface_ligand, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	Q9P126	CLEC1B	CLEC1B [DIP:25458834]
Q9BSK2	SLC25A33	1	receptor	intracellular, receptor, transmembrane, transmembrane_predicted	NA	NA	NA
Q9C0K1	SLC39A8	1	receptor, transporter	cell_surface, intracellular, plasma_membrane, receptor, transmembrane, transporter	P17252	PRKCA	PRKCA [KEA:17570479]
Q8NGQ1	OR9G4	5	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
P04040	CAT	1	receptor	intracellular, receptor	A0A173G4P4, P00519, P42684, Q05655	Abl, ABL1, ABL2, PRKCD	ABL2 [HPRD-phos:12777400;HPRD:12777400;KEA:12777400;ProtMapper:12777400;ProtMapper:12950161;SIGNOR:12777400;SIGNOR:12950161;SPIKE:12777400;SPIKE:20841568;iPTMnet:12777400;iPTMnet:12950161;phosphoELM:12777400], ABL1 [KEA:12777400;PhosphoSite:12777400;ProtMapper:12777400;ProtMapper:12950161;ProtMapper:26117330;ProtMapper:26340608;ProtMapper:26375285;ProtMapper:29535798;SIGNOR:12777400;SIGNOR:12950161;SPIKE:12777400;SPIKE:20841568;iPTMnet:12777400;iPTMnet:12950161;phosphoELM:12777400], PRKCD [ProtMapper:24211614;SIGNOR:24211614], Abl [iPTMnet:12777400]
Q9Y2C9	TLR6	13	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, matrix_adhesion, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	P04114, P08571, P13611, P16671, Q06187, Q96DA0, Q9NWZ3	APOB, BTK, CD14, CD36, IRAK4, VCAN, ZG16B	APOB [CellTalkDB:32196115], CD14 [CellTalkDB:32196115;Cellinker:23350913], IRAK4 [CellTalkDB:32196115], ZG16B [Cellinker:20802527;LRdb:20802527;Ramilowski2015:20802527;connectomeDB2020:20802527;talklr:20802527], CD36 [InnateDB:20037584], VCAN [Cellinker:23350913], BTK [HPRD:12724322;InnateDB:12724322]
Q8NGE0	OR10AD1	5	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
Q6P5W5	SLC39A4	1	receptor, transporter	cell_surface, intracellular, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
P51797	CLCN6	1	receptor, transporter	intracellular, ion_channel, peripheral, receptor, transmembrane, transporter	NA	NA	NA
Q8NHB3	NA	1	receptor	receptor	NA	NA	NA
Q6UXD5	SEZ6L2	1	receptor	cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
Q86WA9	SLC26A11	1	receptor, transporter	intracellular, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
P07477	PRSS1	1	ligand, receptor, secreted_enzyme	ecm_regulator, extracellular, ligand, receptor, secreted, secreted_enzyme, secreted_peptidase	P50452	SERPINB8	SERPINB8 [HPRD:9402754]
D3W0D1	KLRF2	6	adhesion, receptor	adhesion, cell_adhesion, cell_surface, plasma_membrane, receptor, transmembrane	Q6UVW9	CLEC2A	CLEC2A [CellPhoneDB:24223577;DIP:20194751;LRdb:24223577;connectomeDB2020:24223577]
P12018	VPREB1	1	receptor	extracellular, intracellular, receptor	NA	NA	NA
