UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
Q5JTB6	NA	SIMILARITY: Belongs to the PLAC9 family. {ECO:0000305}.	PLAC9 family	NA	NA	NA	NA	NA	NA	NA
Q99584	NA	SIMILARITY: Belongs to the S-100 family. {ECO:0000305}.	S-100 family	NA	NA	DOMAIN 18..53;  /note=EF-hand	NA	NA	NA	NA
A6NNL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UX46	NA	SIMILARITY: Belongs to the ALKAL family. {ECO:0000305}.	ALKAL family	NA	NA	NA	NA	NA	NA	NA
Q6UWF9	NA	SIMILARITY: Belongs to the FAM180 family. {ECO:0000305}.	FAM180 family	NA	NA	NA	NA	NA	NA	NA
Q6UXB2	NA	SIMILARITY: Belongs to the intercrine alpha (chemokine CxC) family. {ECO:0000305}.	Intercrine alpha (chemokine CxC) family	NA	COMPBIAS 84..100;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 81..100;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P09429	DOMAIN: HMG box 2 mediates proinflammatory cytokine-stimulating activity and binding to TLR4 (PubMed:12765338, PubMed:20547845). However, not involved in mediating immunogenic activity in the context of apoptosis-induced immune tolerance (PubMed:24474694). {ECO:0000269|PubMed:12765338, ECO:0000269|PubMed:20547845, ECO:0000269|PubMed:24474694}.; DOMAIN: The acidic C-terminal domain forms a flexible structure which can reversibly interact intramolecularily with the HMG boxes and modulate binding to DNA and other proteins (PubMed:23063560). {ECO:0000250|UniProtKB:P63159, ECO:0000305|PubMed:23063560}.	SIMILARITY: Belongs to the HMGB family. {ECO:0000305}.	HMGB family	NA	COMPBIAS 76..94;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 161..187;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 188..215;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 27..43;  /note=Nuclear localization signal (NLS) 1;  /evidence=ECO:0000250|UniProtKB:P63159; MOTIF 178..184;  /note=Nuclear localization signal (NLS) 2;  /evidence=ECO:0000250|UniProtKB:P63159	REGION 1..97;  /note=Sufficient for interaction with HAVCR2;  /evidence=ECO:0000250|UniProtKB:P63158; REGION 1..10;  /note=Heparin-binding;  /evidence=ECO:0000250|UniProtKB:P10103; REGION 3..15;  /note=LPS binding (delipidated);  /evidence=ECO:0000269|PubMed:21660935; REGION 76..95;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 80..96;  /note=LPS binding (Lipid A);  /evidence=ECO:0000269|PubMed:21660935; REGION 89..108;  /note=Cytokine-stimulating activity;  /evidence=ECO:0000269|PubMed:12765338; REGION 150..183;  /note=Binding to AGER/RAGE;  /evidence=ECO:0000250|UniProtKB:P63159; REGION 161..215;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NPH3	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 21..128;  /note=Ig-like C2-type 1; DOMAIN 141..230;  /note=Ig-like C2-type 2; DOMAIN 242..348;  /note=Ig-like C2-type 3; DOMAIN 403..546;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	REGION 69..85;  /note=Essential for interaction with PTPRD;  /evidence=ECO:0000250|UniProtKB:Q61730; REGION 549..570;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9BQ16	NA	NA	NA	NA	COMPBIAS 396..436;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 133..185;  /note=Kazal-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00798; DOMAIN 314..380;  /note=Thyroglobulin type-1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00500	NA	REGION 393..436;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P01011	DOMAIN: The reactive center loop (RCL) extends out from the body of the protein and directs binding to the target protease. The protease cleaves the serpin at the reactive site within the RCL, establishing a covalent linkage between the carboxyl group of the serpin reactive site and the serine hydroxyl of the protease. The resulting inactive serpin-protease complex is highly stable.	SIMILARITY: Belongs to the serpin family. {ECO:0000305}.	Serpin family	NA	NA	NA	NA	REGION 369..394;  /note=RCL; REGION 381..389;  /note=O-glycosylated at one site	NA	NA
P14091	NA	SIMILARITY: Belongs to the peptidase A1 family. {ECO:0000305}.	Peptidase A1 family	NA	NA	DOMAIN 78..396;  /note=Peptidase A1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01103	NA	NA	NA	NA
Q6UW10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62937	NA	SIMILARITY: Belongs to the cyclophilin-type PPIase family. PPIase A subfamily. {ECO:0000305}.	Cyclophilin-type PPIase family, PPIase A subfamily	NA	NA	DOMAIN 7..163;  /note=PPIase cyclophilin-type;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00156	NA	NA	NA	NA
P0DN87	NA	SIMILARITY: Belongs to the glycoprotein hormones subunit beta family. {ECO:0000305}.	Glycoprotein hormones subunit beta family	NA	COMPBIAS 144..165;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 131..165;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NZ94	NA	SIMILARITY: Belongs to the type-B carboxylesterase/lipase family. {ECO:0000305}.	Type-B carboxylesterase/lipase family	NA	COMPBIAS 645..689;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 170..195;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 645..694;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P08174	DOMAIN: The first Sushi domain (SCR1) is not necessary for function. SCR2 and SCR4 provide the proper conformation for the active site on SCR3 (By similarity). {ECO:0000250}.	SIMILARITY: Belongs to the receptors of complement activation (RCA) family. {ECO:0000305}.	Receptors of complement activation (RCA) family	NA	COMPBIAS 290..354;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 35..96;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 96..160;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 161..222;  /note=Sushi 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 223..285;  /note=Sushi 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	REGION 277..354;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96CW9	DOMAIN: The laminin N-terminal domain mediates 1:1 binding to NGL ligand with sub-micromolar affinity. Three NGL-binding loops mediate discrimination for LRRC4C/NGL1 among other NGLs by binding specifically to its LRR repeats. This specificity drives the sorting of a mixed population of molecules into discrete cell surface subdomains.	NA	NA	NA	NA	DOMAIN 35..286;  /note=Laminin N-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00466; DOMAIN 287..346;  /note=Laminin EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 353..408;  /note=Laminin EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 409..453;  /note=Laminin EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460	NA	REGION 69..88;  /note=NGL discriminant loop I; REGION 201..203;  /note=NGL discriminant loop II; REGION 264..267;  /note=NGL discriminant loop III	NA	NA
Q8IZ26	NA	SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.	Krueppel C2H2-type zinc-finger protein family	NA	COMPBIAS 167..181;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 35..108;  /note=KRAB;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00119	NA	REGION 163..188;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	ZN_FING 195..217;  /note=C2H2-type 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 251..273;  /note=C2H2-type 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 279..301;  /note=C2H2-type 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 307..329;  /note=C2H2-type 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 335..357;  /note=C2H2-type 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 363..385;  /note=C2H2-type 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 391..413;  /note=C2H2-type 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 419..441;  /note=C2H2-type 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 447..469;  /note=C2H2-type 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 475..497;  /note=C2H2-type 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 503..525;  /note=C2H2-type 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042; ZN_FING 531..553;  /note=C2H2-type 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00042
P24158	NA	SIMILARITY: Belongs to the peptidase S1 family. Elastase subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Elastase subfamily	NA	NA	DOMAIN 28..248;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
A6NHN6	NA	SIMILARITY: Belongs to the NPIP family. {ECO:0000305}.	NPIP family	NA	COMPBIAS 246..262;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 352..400;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 242..262;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 330..413;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O43320	NA	SIMILARITY: Belongs to the heparin-binding growth factors family. {ECO:0000305}.	Heparin-binding growth factors family	NA	NA	NA	NA	NA	NA	NA
Q8IWU5	NA	SIMILARITY: Belongs to the sulfatase family. {ECO:0000305}.	Sulfatase family	NA	COMPBIAS 566..580;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 560..588;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P24043	DOMAIN: The alpha-helical domains I and II are thought to interact with other laminin chains to form a coiled coil structure.; DOMAIN: Domains VI, IV and G are globular.	NA	NA	COILED 1630..2150;  /evidence=ECO:0000255	COMPBIAS 3043..3062;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 35..286;  /note=Laminin N-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00466; DOMAIN 287..343;  /note=Laminin EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 344..413;  /note=Laminin EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 414..468;  /note=Laminin EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 469..517;  /note=Laminin EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 518..527;  /note=Laminin EGF-like 5; first part;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 531..723;  /note=Laminin IV type A 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00458; DOMAIN 724..756;  /note=Laminin EGF-like 5; second part;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 757..806;  /note=Laminin EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 807..864;  /note=Laminin EGF-like 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 865..917;  /note=Laminin EGF-like 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 918..966;  /note=Laminin EGF-like 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 967..1013;  /note=Laminin EGF-like 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1014..1059;  /note=Laminin EGF-like 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1060..1105;  /note=Laminin EGF-like 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1106..1165;  /note=Laminin EGF-like 13;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1166..1175;  /note=Laminin EGF-like 14; first part;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1176..1379;  /note=Laminin IV type A 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00458; DOMAIN 1380..1419;  /note=Laminin EGF-like 14; second part;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1420..1468;  /note=Laminin EGF-like 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1469..1526;  /note=Laminin EGF-like 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1527..1573;  /note=Laminin EGF-like 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 2145..2328;  /note=Laminin G-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122; DOMAIN 2340..2521;  /note=Laminin G-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122; DOMAIN 2526..2710;  /note=Laminin G-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122; DOMAIN 2763..2934;  /note=Laminin G-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122; DOMAIN 2939..3110;  /note=Laminin G-like 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122	NA	REGION 1574..2144;  /note=Domain II and I; REGION 3043..3063;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6UXT8	NA	SIMILARITY: Belongs to the ALKAL family. {ECO:0000305}.	ALKAL family	NA	NA	NA	NA	REGION 24..63;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8IZC6	DOMAIN: The C-terminal propeptide, also known as COLFI domain, have crucial roles in tissue growth and repair by controlling both the intracellular assembly of procollagen molecules and the extracellular assembly of collagen fibrils. It binds a calcium ion which is essential for its function (By similarity). {ECO:0000250}.	SIMILARITY: Belongs to the fibrillar collagen family. {ECO:0000255|PROSITE-ProRule:PRU00793}.	Fibrillar collagen family	NA	COMPBIAS 296..310;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 347..407;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 428..444;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 462..522;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 572..608;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 625..666;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1115..1149;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1205..1222;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1605..1621;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 71..236;  /note=Laminin G-like; DOMAIN 625..679;  /note=Collagen-like 1; DOMAIN 688..747;  /note=Collagen-like 2; DOMAIN 748..807;  /note=Collagen-like 3; DOMAIN 808..867;  /note=Collagen-like 4; DOMAIN 871..930;  /note=Collagen-like 5; DOMAIN 931..990;  /note=Collagen-like 6; DOMAIN 1003..1062;  /note=Collagen-like 7; DOMAIN 1066..1125;  /note=Collagen-like 8; DOMAIN 1126..1185;  /note=Collagen-like 9; DOMAIN 1192..1251;  /note=Collagen-like 10; DOMAIN 1258..1317;  /note=Collagen-like 11; DOMAIN 1318..1378;  /note=Collagen-like 12; DOMAIN 1382..1441;  /note=Collagen-like 13; DOMAIN 1442..1501;  /note=Collagen-like 14; DOMAIN 1502..1561;  /note=Collagen-like 15; DOMAIN 1562..1621;  /note=Collagen-like 16; DOMAIN 1660..1860;  /note=Fibrillar collagen NC1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00793	NA	REGION 278..608;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 625..1618;  /note=Triple-helical region; REGION 625..772;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 851..1625;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P17900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UWE3	NA	SIMILARITY: Belongs to the colipase family. {ECO:0000255|PROSITE-ProRule:PRU00674}.	Colipase family	NA	NA	NA	NA	NA	NA	NA
Q6IE38	NA	NA	NA	NA	NA	DOMAIN 34..97;  /note=Kazal-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00798	NA	NA	NA	NA
Q6UY27	NA	SIMILARITY: Belongs to the PATE family. {ECO:0000305}.	PATE family	NA	NA	DOMAIN 29..110;  /note=UPAR/Ly6;  /evidence=ECO:0000305	NA	NA	NA	NA
Q13751	DOMAIN: The alpha-helical domains I and II are thought to interact with other laminin chains to form a coiled coil structure.; DOMAIN: Domain VI is globular.	NA	NA	COILED 723..757;  /evidence=ECO:0000255; COILED 831..884;  /evidence=ECO:0000255; COILED 948..1133;  /evidence=ECO:0000255	NA	DOMAIN 22..249;  /note=Laminin N-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00466; DOMAIN 250..315;  /note=Laminin EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 316..378;  /note=Laminin EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 379..430;  /note=Laminin EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 431..480;  /note=Laminin EGF-like 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 481..533;  /note=Laminin EGF-like 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 534..580;  /note=Laminin EGF-like 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460	NA	REGION 579..785;  /note=Domain II; REGION 786..816;  /note=Domain alpha; REGION 817..1170;  /note=Domain I	NA	NA
Q92520	NA	SIMILARITY: Belongs to the FAM3 family. {ECO:0000305}.	FAM3 family	NA	NA	NA	NA	NA	NA	NA
P49662	DOMAIN: The CARD domain mediates LPS recognition and homooligomerization. {ECO:0000269|PubMed:25119034}.	SIMILARITY: Belongs to the peptidase C14A family. {ECO:0000305}.	Peptidase C14A family	NA	NA	DOMAIN 1..91;  /note=CARD;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00046	NA	REGION 1..59;  /note=Required for LPS-binding;  /evidence=ECO:0000250|UniProtKB:P70343; REGION 84..104;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q495W5	NA	SIMILARITY: Belongs to the glycosyltransferase 10 family. {ECO:0000305}.	Glycosyltransferase 10 family	NA	NA	NA	NA	NA	NA	NA
Q9H1A3	NA	SIMILARITY: Belongs to the METTL9 family. {ECO:0000305}.	METTL9 family	NA	NA	NA	NA	NA	NA	NA
Q8IZI9	NA	SIMILARITY: Belongs to the lambda interferon family. {ECO:0000305}.	Lambda interferon family	NA	NA	NA	NA	NA	NA	NA
P01009	DOMAIN: The reactive center loop (RCL) extends out from the body of the protein and directs binding to the target protease. The protease cleaves the serpin at the reactive site within the RCL, establishing a covalent linkage between the carboxyl group of the serpin reactive site and the serine hydroxyl of the protease. The resulting inactive serpin-protease complex is highly stable.	SIMILARITY: Belongs to the serpin family. {ECO:0000305}.	Serpin family	NA	NA	NA	NA	REGION 368..392;  /note=RCL	NA	NA
P20231	NA	SIMILARITY: Belongs to the peptidase S1 family. Tryptase subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Tryptase subfamily	NA	NA	DOMAIN 31..272;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q8NEV9	NA	SIMILARITY: Belongs to the IL-6 superfamily. {ECO:0000305}.	IL-6 superfamily	NA	NA	NA	NA	NA	NA	NA
Q02747	NA	SIMILARITY: Belongs to the guanylin family. {ECO:0000305}.	Guanylin family	NA	NA	NA	NA	NA	NA	NA
Q7Z2W9	NA	SIMILARITY: Belongs to the bacterial ribosomal protein bL21 family. {ECO:0000305}.	Bacterial ribosomal protein bL21 family	NA	NA	NA	NA	NA	NA	NA
Q6UXB3	NA	NA	NA	NA	NA	DOMAIN 25..100;  /note=UPAR/Ly6	NA	NA	NA	NA
P20813	NA	SIMILARITY: Belongs to the cytochrome P450 family. {ECO:0000305}.	Cytochrome P450 family	NA	NA	NA	NA	NA	NA	NA
P24903	NA	SIMILARITY: Belongs to the cytochrome P450 family. {ECO:0000305}.	Cytochrome P450 family	NA	NA	NA	NA	NA	NA	NA
P04085	DOMAIN: The long form contains a basic insert which acts as a cell retention signal.	SIMILARITY: Belongs to the PDGF/VEGF growth factor family. {ECO:0000305}.	PDGF/VEGF growth factor family	NA	NA	NA	NA	REGION 158..162;  /note=Receptor binding site;  /evidence=ECO:0000255; REGION 185..211;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9UBC7	NA	SIMILARITY: Belongs to the galanin family. {ECO:0000305}.	Galanin family	NA	NA	NA	NA	NA	NA	NA
P51124	NA	SIMILARITY: Belongs to the peptidase S1 family. Granzyme subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Granzyme subfamily	NA	NA	DOMAIN 26..254;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q14031	DOMAIN: Alpha chains of type IV collagen have a non-collagenous domain (NC1) at their C-terminus, frequent interruptions of the G-X-Y repeats in the long central triple-helical domain (which may cause flexibility in the triple helix), and a short N-terminal triple-helical 7S domain.	SIMILARITY: Belongs to the type IV collagen family. {ECO:0000255|PROSITE-ProRule:PRU00736}.	Type IV collagen family	NA	COMPBIAS 194..214;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 430..444;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 609..623;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 1467..1691;  /note=Collagen IV NC1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00736	MOTIF 515..517;  /note=Cell attachment site;  /evidence=ECO:0000255; MOTIF 560..562;  /note=Cell attachment site;  /evidence=ECO:0000255; MOTIF 986..988;  /note=Cell attachment site;  /evidence=ECO:0000255	REGION 23..46;  /note=7S domain; REGION 47..1463;  /note=Triple-helical region; REGION 108..338;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 404..473;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 486..881;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 915..1099;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1185..1459;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O75354	NA	SIMILARITY: Belongs to the GDA1/CD39 NTPase family. {ECO:0000305}.	GDA1/CD39 NTPase family	NA	NA	NA	NA	NA	NA	NA
P22413	DOMAIN: The di-leucine motif is required for basolateral targeting in epithelial cells, and for targeting to matrix vesicles derived from mineralizing cells. {ECO:0000250|UniProtKB:P06802}.	SIMILARITY: Belongs to the nucleotide pyrophosphatase/phosphodiesterase family. {ECO:0000305}.	Nucleotide pyrophosphatase/phosphodiesterase family	NA	NA	DOMAIN 104..144;  /note=SMB 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00350; DOMAIN 145..189;  /note=SMB 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00350	MOTIF 45..52;  /note=Di-leucine motif;  /evidence=ECO:0000250|UniProtKB:P06802	REGION 1..43;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 191..591;  /note=Phosphodiesterase;  /evidence=ECO:0000250|UniProtKB:P06802; REGION 597..647;  /note=Linker;  /evidence=ECO:0000250|UniProtKB:P06802; REGION 654..925;  /note=Nuclease;  /evidence=ECO:0000250|UniProtKB:P06802	NA	NA
Q13361	NA	SIMILARITY: Belongs to the MFAP family. {ECO:0000305}.	MFAP family	NA	NA	NA	MOTIF 30..32;  /note=Cell attachment site;  /evidence=ECO:0000255	NA	NA	NA
Q9BQ51	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. BTN/MOG family. {ECO:0000305}.	Immunoglobulin superfamily, BTN/MOG family	NA	NA	DOMAIN 21..118;  /note=Ig-like V-type; DOMAIN 122..203;  /note=Ig-like C2-type	NA	NA	NA	NA
P08949	NA	SIMILARITY: Belongs to the bombesin/neuromedin-B/ranatensin family. {ECO:0000305}.	Bombesin/neuromedin-B/ranatensin family	NA	NA	NA	NA	NA	NA	NA
Q2VPA4	NA	SIMILARITY: Belongs to the receptors of complement activation (RCA) family. {ECO:0000305}.	Receptors of complement activation (RCA) family	NA	NA	DOMAIN 33..93;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 94..155;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 156..226;  /note=Sushi 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 228..287;  /note=Sushi 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 287..347;  /note=Sushi 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 348..410;  /note=Sushi 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 411..472;  /note=Sushi 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 473..543;  /note=Sushi 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	NA	NA	NA
Q6XE38	NA	SIMILARITY: Belongs to the secretoglobin family. Lipophilin subfamily. {ECO:0000305}.	Secretoglobin family, Lipophilin subfamily	NA	NA	NA	NA	NA	NA	NA
