hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
CD46	CD46 molecule 	186.69339288779264	NA	Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}; Single-pass type I membrane protein {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}. Note=Inner acrosomal membrane of spermatozoa. Internalized upon binding of Measles virus, Herpesvirus 6 or Neisseria gonorrhoeae, which results in an increased susceptibility of infected cells to complement-mediated injury. In cancer cells or cells infected by Neisseria, shedding leads to a soluble peptide.	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; inner acrosomal membrane [GO:0002079]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; signaling receptor activity [GO:0038023]; virus receptor activity [GO:0001618]	adaptive immune response [GO:0002250]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of transforming growth factor beta production [GO:0071636]; regulation of complement activation [GO:0030449]; regulation of Notch signaling pathway [GO:0008593]; sequestering of extracellular ligand from receptor [GO:0035581]; single fertilization [GO:0007338]; T cell mediated immunity [GO:0002456]	ENSG00000117335	P15529
CD151	CD151 molecule (Raph blood group) 	179.7652097628659	Tetraspanin (TM4SF) family	Membrane; Multi-pass membrane protein.	basement membrane [GO:0005604]; cell surface [GO:0009986]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integrin binding [GO:0005178]	cell adhesion [GO:0007155]; cell migration [GO:0016477]; collagen fibril organization [GO:0030199]; hemidesmosome assembly [GO:0031581]; positive regulation of cell migration [GO:0030335]; positive regulation of endocytosis [GO:0045807]; T cell proliferation [GO:0042098]; viral process [GO:0016032]; wound healing, spreading of cells [GO:0044319]	ENSG00000177697	P48509
CD9	CD9 molecule 	172.04897890843998	Tetraspanin (TM4SF) family	Cell membrane {ECO:0000269|PubMed:19640571}; Multi-pass membrane protein {ECO:0000269|PubMed:19640571}. Membrane {ECO:0000269|PubMed:19640571}; Multi-pass membrane protein {ECO:0000269|PubMed:19640571}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:P40240}. Note=Present at the cell surface of oocytes. Accumulates in the adhesion area between the sperm and egg following interaction between IZUMO1 and its receptor IZUMO1R/JUNO. {ECO:0000250|UniProtKB:P40240}.	clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]; protein-containing complex [GO:0032991]	integrin binding [GO:0005178]	cell adhesion [GO:0007155]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; glial cell migration [GO:0008347]; myoblast fusion involved in skeletal muscle regeneration [GO:0014905]; negative regulation of cellular component movement [GO:0051271]; negative regulation of platelet aggregation [GO:0090331]; paranodal junction assembly [GO:0030913]; platelet activation [GO:0030168]; platelet degranulation [GO:0002576]; receptor internalization [GO:0031623]; sperm-egg recognition [GO:0035036]	ENSG00000010278	P21926
ADGRG1	adhesion G protein-coupled receptor G1 	171.6862665967547	G-protein coupled receptor 2 family, LN-TM7 subfamily	Cell membrane {ECO:0000269|PubMed:21349848, ECO:0000269|PubMed:24949629}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [ADGRG1 N-terminal fragment]: Secreted {ECO:0000269|PubMed:21349848}.; SUBCELLULAR LOCATION: [ADGRG1 C-terminal fragment]: Membrane raft {ECO:0000269|PubMed:24949629}. Note=Interaction with its ligand COL3A1 leads to the release of ADGRG1 NT from the membrane and triggers the association of ADGRG1 CT with lipid rafts. {ECO:0000269|PubMed:24949629}.	extracellular exosome [GO:0070062]; glial limiting end-foot [GO:0097451]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]	collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; G protein-coupled receptor activity [GO:0004930]; heparin binding [GO:0008201]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; angiogenesis [GO:0001525]; brain development [GO:0007420]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; cell migration [GO:0016477]; cell surface receptor signaling pathway [GO:0007166]; cerebral cortex radial glia guided migration [GO:0021801]; cerebral cortex regionalization [GO:0021796]; G protein-coupled receptor signaling pathway [GO:0007186]; hematopoietic stem cell homeostasis [GO:0061484]; layer formation in cerebral cortex [GO:0021819]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron migration [GO:2001223]; positive regulation of cell adhesion [GO:0045785]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of Rho protein signal transduction [GO:0035025]; protein kinase C signaling [GO:0070528]; Rho protein signal transduction [GO:0007266]; seminiferous tubule development [GO:0072520]; vascular endothelial growth factor production [GO:0010573]	ENSG00000205336	Q9Y653
BEX3	brain expressed X-linked 3 	165.58458850561797	BEX family	Nucleus. Cytoplasm. Note=Shuttles between the cytoplasm and the nucleus. Associates with replicating mitochondria (By similarity). {ECO:0000250}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nerve growth factor receptor binding [GO:0005163]; signaling receptor binding [GO:0005102]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; multicellular organism development [GO:0007275]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; signal transduction [GO:0007165]	ENSG00000166681	Q00994
MAGED1	MAGE family member D1 	165.33050784437424	NA	Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Expression shifts from the cytoplasm to the plasma membrane upon stimulation with NGF. {ECO:0000250}.	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	identical protein binding [GO:0042802]	circadian regulation of gene expression [GO:0032922]; negative regulation of epithelial cell proliferation [GO:0050680]; regulation of apoptotic process [GO:0042981]; regulation of transcription, DNA-templated [GO:0006355]	ENSG00000179222	Q9Y5V3
CANX	calnexin 	133.36992221938948	Calreticulin family	Endoplasmic reticulum membrane {ECO:0000269|PubMed:22314232}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum {ECO:0000269|PubMed:22314232}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545, PubMed:17081065). The palmitoylated form preferentially localizes to the perinuclear rough ER (PubMed:22314232). {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:22314232}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; presynapse [GO:0098793]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; clathrin-dependent endocytosis [GO:0072583]; endoplasmic reticulum unfolded protein response [GO:0030968]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein secretion [GO:0009306]; synaptic vesicle endocytosis [GO:0048488]; viral protein processing [GO:0019082]	ENSG00000127022	P27824
CFTR	CF transmembrane conductance regulator 	133.29145034891923	ABC transporter superfamily, ABCC family, CFTR transporter (TC 3.A.1.202) subfamily	Apical cell membrane {ECO:0000269|PubMed:12519745, ECO:0000269|PubMed:12529365, ECO:0000269|PubMed:1284548, ECO:0000269|PubMed:15247260, ECO:0000269|PubMed:15716351, ECO:0000269|PubMed:17462998, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:19621064, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:22207244, ECO:0000269|PubMed:28130590}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Early endosome membrane {ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Cell membrane {ECO:0000269|PubMed:10792060, ECO:0000269|PubMed:11524016, ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:12588899, ECO:0000269|PubMed:15010471, ECO:0000269|PubMed:17036051, ECO:0000269|PubMed:1712898, ECO:0000269|PubMed:17182731, ECO:0000269|PubMed:19019741, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:21884936, ECO:0000269|PubMed:22178883, ECO:0000269|PubMed:25330774, ECO:0000269|PubMed:26846474, ECO:0000269|PubMed:28001373, ECO:0000269|PubMed:28067262, ECO:0000269|PubMed:28087700, ECO:0000269|PubMed:28130590, ECO:0000269|PubMed:9804160, ECO:0000305|PubMed:8910473}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Recycling endosome membrane {ECO:0000305|PubMed:17462998}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:25330774}; Multi-pass membrane protein {ECO:0000269|Ref.54}. Nucleus {ECO:0000250|UniProtKB:P34158}. Note=The channel is internalized from the cell surface into an endosomal recycling compartment, from where it is recycled to the cell membrane (PubMed:17462998, PubMed:19398555, PubMed:20008117). In the oviduct and bronchus, detected on the apical side of epithelial cells, but not associated with cilia (PubMed:22207244). In Sertoli cells, a processed product is detected in the nucleus (By similarity). ER stress induces GORASP2-mediated unconventional (ER/Golgi-independent) trafficking of core-glycosylated CFTR to cell membrane (PubMed:21884936). {ECO:0000250|UniProtKB:P34158, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:21884936, ECO:0000269|PubMed:22207244, ECO:0000305|PubMed:17462998}.	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; chloride channel complex [GO:0034707]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; Golgi-associated vesicle membrane [GO:0030660]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; bicarbonate transmembrane transporter activity [GO:0015106]; chaperone binding [GO:0051087]; chloride channel activity [GO:0005254]; chloride channel inhibitor activity [GO:0019869]; chloride transmembrane transporter activity [GO:0015108]; enzyme binding [GO:0019899]; intracellularly ATP-gated chloride channel activity [GO:0005260]; isomerase activity [GO:0016853]; PDZ domain binding [GO:0030165]; Sec61 translocon complex binding [GO:0106138]	aggrephagy [GO:0035973]; bicarbonate transport [GO:0015701]; cellular response to cAMP [GO:0071320]; cellular response to forskolin [GO:1904322]; chloride transmembrane transport [GO:1902476]; cholesterol biosynthetic process [GO:0006695]; cholesterol transport [GO:0030301]; intracellular pH elevation [GO:0051454]; membrane hyperpolarization [GO:0060081]; membrane organization [GO:0061024]; multicellular organismal water homeostasis [GO:0050891]; positive regulation of cyclic nucleotide-gated ion channel activity [GO:1902161]; positive regulation of exocytosis [GO:0045921]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of voltage-gated chloride channel activity [GO:1902943]; protein deubiquitination [GO:0016579]; response to endoplasmic reticulum stress [GO:0034976]; sperm capacitation [GO:0048240]; transepithelial water transport [GO:0035377]; transmembrane transport [GO:0055085]; vesicle docking involved in exocytosis [GO:0006904]	ENSG00000001626	P13569
TNFRSF21	TNF receptor superfamily member 21 	131.90931685393258	NA	Cell membrane {ECO:0000269|PubMed:19654028}; Single-pass type I membrane protein {ECO:0000269|PubMed:19654028}.	axon [GO:0030424]; cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]	NA	adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; axonal fasciculation [GO:0007413]; B cell apoptotic process [GO:0001783]; cellular response to tumor necrosis factor [GO:0071356]; humoral immune response [GO:0006959]; myelination [GO:0042552]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of interleukin-13 production [GO:0032696]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of myelination [GO:0031642]; negative regulation of T cell proliferation [GO:0042130]; neuron apoptotic process [GO:0051402]; oligodendrocyte apoptotic process [GO:0097252]; regulation of metabolic process [GO:0019222]; regulation of oligodendrocyte differentiation [GO:0048713]; T cell receptor signaling pathway [GO:0050852]; viral process [GO:0016032]	ENSG00000146072	O75509
LAMP1	lysosomal associated membrane protein 1 	126.88009020787639	LAMP family	Cell membrane {ECO:0000250|UniProtKB:P05300}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:16176980}; Single-pass type I membrane protein {ECO:0000255}. Cytolytic granule membrane {ECO:0000269|PubMed:24088571}; Single-pass type I membrane protein {ECO:0000255}. Note=This protein shuttles between lysosomes, endosomes, and the plasma membrane (By similarity). Colocalizes with OSBPL1A at the late endosome (PubMed:16176980). {ECO:0000250|UniProtKB:P05300, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:17897319}.	alveolar lamellar body [GO:0097208]; autolysosome [GO:0044754]; autophagosome membrane [GO:0000421]; azurophil granule membrane [GO:0035577]; cytolytic granule membrane [GO:0101004]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; integral component of synaptic vesicle membrane [GO:0030285]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane [GO:0016020]; multivesicular body [GO:0005771]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; phagolysosome membrane [GO:0061474]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]	enzyme binding [GO:0019899]; protein domain specific binding [GO:0019904]; virus receptor activity [GO:0001618]	autophagic cell death [GO:0048102]; establishment of protein localization to organelle [GO:0072594]; Golgi to lysosome transport [GO:0090160]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; neutrophil degranulation [GO:0043312]; positive regulation of natural killer cell degranulation [GO:0043323]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; protein stabilization [GO:0050821]; regulation of organelle transport along microtubule [GO:1902513]	ENSG00000185896	P11279
PDGFRB	platelet derived growth factor receptor beta 	116.68317609619999	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	Cell membrane; Single-pass type I membrane protein. Cytoplasmic vesicle. Lysosome lumen. Note=After ligand binding, the autophosphorylated receptor is ubiquitinated and internalized, leading to its degradation.	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; intrinsic component of plasma membrane [GO:0031226]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; growth factor binding [GO:0019838]; phosphatidylinositol 3-kinase binding [GO:0043548]; platelet activating factor receptor activity [GO:0004992]; platelet-derived growth factor-activated receptor activity [GO:0005017]; platelet-derived growth factor beta-receptor activity [GO:0005019]; platelet-derived growth factor binding [GO:0048407]; platelet-derived growth factor receptor binding [GO:0005161]; protein kinase binding [GO:0019901]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor binding [GO:0038085]	aging [GO:0007568]; aorta morphogenesis [GO:0035909]; cardiac myofibril assembly [GO:0055003]; cell chemotaxis [GO:0060326]; cell migration [GO:0016477]; cell migration involved in coronary angiogenesis [GO:0060981]; cell migration involved in vasculogenesis [GO:0035441]; glycosaminoglycan biosynthetic process [GO:0006024]; inner ear development [GO:0048839]; lung growth [GO:0060437]; male gonad development [GO:0008584]; MAPK cascade [GO:0000165]; metanephric comma-shaped body morphogenesis [GO:0072278]; metanephric glomerular capillary formation [GO:0072277]; metanephric glomerular mesangial cell proliferation involved in metanephros development [GO:0072262]; metanephric mesenchymal cell migration [GO:0035789]; metanephric mesenchyme development [GO:0072075]; metanephric S-shaped body morphogenesis [GO:0072284]; multicellular organism development [GO:0007275]; negative regulation of apoptotic process [GO:0043066]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphatidylinositol metabolic process [GO:0046488]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of apoptotic process [GO:0043065]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway [GO:0038091]; positive regulation of chemotaxis [GO:0050921]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of hepatic stellate cell activation [GO:2000491]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway [GO:0035793]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase C activity [GO:0010863]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; protein autophosphorylation [GO:0046777]; regulation of actin cytoskeleton organization [GO:0032956]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; response to fluid shear stress [GO:0034405]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to retinoic acid [GO:0032526]; response to toxic substance [GO:0009636]; retina vasculature development in camera-type eye [GO:0061298]; signal transduction [GO:0007165]; smooth muscle cell chemotaxis [GO:0071670]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; wound healing [GO:0042060]	ENSG00000113721	P09619
