hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
TREM2	triggering receptor expressed on myeloid cells 2	No		1.037300	NA	Intracellular or membrane-bound	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:24078628, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:25615530, ECO:0000269|PubMed:27589997, ECO:0000269|PubMed:27995897, ECO:0000269|PubMed:28768830, ECO:0000269|PubMed:28855300, ECO:0000269|PubMed:28855301}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]	amyloid-beta binding [GO:0001540]; apolipoprotein A-I binding [GO:0034186]; apolipoprotein binding [GO:0034185]; high-density lipoprotein particle binding [GO:0008035]; lipid binding [GO:0008289]; lipopolysaccharide binding [GO:0001530]; lipoprotein particle binding [GO:0071813]; lipoteichoic acid binding [GO:0070891]; low-density lipoprotein particle binding [GO:0030169]; peptidoglycan binding [GO:0042834]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]; protein tyrosine kinase binding [GO:1990782]; scaffold protein binding [GO:0097110]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; very-low-density lipoprotein particle binding [GO:0034189]	amyloid-beta clearance [GO:0097242]; apoptotic cell clearance [GO:0043277]; astrocyte activation [GO:0048143]; cellular response to amyloid-beta [GO:1904646]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to peptidoglycan [GO:0071224]; complement-mediated synapse pruning [GO:0150062]; defense response to bacterium [GO:0042742]; dendritic cell differentiation [GO:0097028]; detection of lipopolysaccharide [GO:0032497]; detection of lipoteichoic acid [GO:0070392]; detection of peptidoglycan [GO:0032499]; humoral immune response [GO:0006959]; import into cell [GO:0098657]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; microglial cell activation involved in immune response [GO:0002282]; microglial cell proliferation [GO:0061518]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagic cell death [GO:1904093]; negative regulation of autophagy [GO:0010507]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of tumor necrosis factor production [GO:0032720]; neuroinflammatory response [GO:0150076]; osteoclast differentiation [GO:0030316]; phagocytosis, engulfment [GO:0006911]; positive regulation of amyloid-beta clearance [GO:1900223]; positive regulation of antigen processing and presentation of peptide antigen via MHC class II [GO:0002588]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of CAMKK-AMPK signaling cascade [GO:1905291]; positive regulation of C-C chemokine receptor CCR7 signaling pathway [GO:1903082]; positive regulation of CD40 signaling pathway [GO:2000350]; positive regulation of chemotaxis [GO:0050921]; positive regulation of engulfment of apoptotic cell [GO:1901076]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of inward rectifier potassium channel activity [GO:1901980]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of microglial cell migration [GO:1904141]; positive regulation of mitochondrion organization [GO:0010822]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein secretion [GO:0050714]; positive regulation of TOR signaling [GO:0032008]; regulation of gene expression [GO:0010468]; regulation of immune response [GO:0050776]; regulation of innate immune response [GO:0045088]; regulation of interleukin-6 production [GO:0032675]; regulation of intracellular signal transduction [GO:1902531]; regulation of macrophage inflammatory protein 1 alpha production [GO:0071640]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; regulation of plasma membrane bounded cell projection organization [GO:0120035]; regulation of resting membrane potential [GO:0060075]; regulation of TOR signaling [GO:0032006]; response to ischemia [GO:0002931]	ENSG00000095970	Q9NZC2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM2&keywords=TREM2		
TREML4	triggering receptor expressed on myeloid cells like 4	No		0.108911	NA	Secreted - unknown location	Secreted {ECO:0000305|PubMed:24975946}.	cell surface [GO:0009986]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	signaling receptor activity [GO:0038023]	innate immune response [GO:0045087]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; regulation of immune response [GO:0050776]	ENSG00000188056	Q6UXN2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREML4&keywords=TREML4		
TRH	thyrotropin releasing hormone	Yes		0.089653	TRH family	Locally secreted	Secreted.	extracellular region [GO:0005576]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]	thyrotropin-releasing hormone activity [GO:0008437]	cell-cell signaling [GO:0007267]; eating behavior [GO:0042755]; G protein-coupled receptor signaling pathway [GO:0007186]; histamine metabolic process [GO:0001692]; hormone-mediated signaling pathway [GO:0009755]; negative regulation of feeding behavior [GO:2000252]; negative regulation of glutamate secretion [GO:0014050]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of insulin secretion [GO:0032024]; response to cold [GO:0009409]; response to corticosterone [GO:0051412]; response to ethanol [GO:0045471]; response to glucose [GO:0009749]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]	ENSG00000170893	P20396	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRH&keywords=TRH		
TRIM24	tripartite motif containing 24	No		10.748028	NA	Intracellular or membrane-bound	Nucleus {ECO:0000269|PubMed:21164480}. Cytoplasm {ECO:0000269|PubMed:21164480}. Note=Colocalizes with sites of active transcription. Detected both in nucleus and cytoplasm in some breast cancer samples. Predominantly nuclear.	cytosol [GO:0005829]; euchromatin [GO:0000791]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perichromatin fibrils [GO:0005726]	chromatin binding [GO:0003682]; estrogen response element binding [GO:0034056]; lysine-acetylated histone binding [GO:0070577]; nuclear receptor binding [GO:0016922]; p53 binding [GO:0002039]; protein kinase activity [GO:0004672]; signaling receptor binding [GO:0005102]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	calcium ion homeostasis [GO:0055074]; cellular response to estrogen stimulus [GO:0071391]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of gene expression [GO:0010628]; protein autophosphorylation [GO:0046777]; protein catabolic process [GO:0030163]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of vitamin D receptor signaling pathway [GO:0070562]; transcription by RNA polymerase II [GO:0006366]	ENSG00000122779	O15164	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM24&keywords=TRIM24		
TRIM28	tripartite motif containing 28	No		247.865349	TRIM/RBCC family	Intracellular or membrane-bound	Nucleus {ECO:0000269|PubMed:10330177, ECO:0000269|PubMed:17178852, ECO:0000269|PubMed:20858735, ECO:0000269|PubMed:23665872, ECO:0000269|PubMed:24741090, ECO:0000269|PubMed:9016654}. Note=Associated with centromeric heterochromatin during cell differentiation through CBX1. {ECO:0000250|UniProtKB:Q62318}.	chromatin [GO:0000785]; euchromatin [GO:0000791]; heterochromatin [GO:0000792]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription regulator complex [GO:0090575]	chromatin binding [GO:0003682]; chromo shadow domain binding [GO:0070087]; DNA binding [GO:0003677]; Krueppel-associated box domain binding [GO:0035851]; promoter-specific chromatin binding [GO:1990841]; protein kinase activity [GO:0004672]; RNA binding [GO:0003723]; SUMO transferase activity [GO:0019789]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	chromatin organization [GO:0006325]; convergent extension involved in axis elongation [GO:0060028]; DNA methylation involved in embryo development [GO:0043045]; DNA repair [GO:0006281]; embryo implantation [GO:0007566]; embryonic placenta morphogenesis [GO:0060669]; epithelial to mesenchymal transition [GO:0001837]; innate immune response [GO:0045087]; negative regulation of DNA demethylation [GO:1901536]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of viral release from host cell [GO:1902187]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA methylation-dependent heterochromatin assembly [GO:0090309]; positive regulation of DNA repair [GO:0045739]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of transcription, DNA-templated [GO:0045893]; protein autophosphorylation [GO:0046777]; protein sumoylation [GO:0016925]; Ras protein signal transduction [GO:0007265]; regulation of genetic imprinting [GO:2000653]; regulation of transcription initiation from RNA polymerase II promoter [GO:0060260]; viral process [GO:0016032]	ENSG00000130726	Q13263	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM28&keywords=TRIM28		
TSHB	thyroid stimulating hormone subunit beta	Yes		1.241046	Glycoprotein hormones subunit beta family	Secreted to blood	Secreted.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	hormone activity [GO:0005179]	anatomical structure morphogenesis [GO:0009653]; cell-cell signaling [GO:0007267]; G protein-coupled receptor signaling pathway [GO:0007186]; hormone-mediated signaling pathway [GO:0009755]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; peptide hormone processing [GO:0016486]; response to calcium ion [GO:0051592]; response to estrogen [GO:0043627]; response to vitamin A [GO:0033189]	ENSG00000134200	P01222	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB&keywords=TSHB		
TSHR	thyroid stimulating hormone receptor	No		0.436359	G-protein coupled receptor 1 family, FSH/LSH/TSH subfamily	Intracellular or membrane-bound	Cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}.	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	G protein-coupled peptide receptor activity [GO:0008528]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; thyroid-stimulating hormone receptor activity [GO:0004996]	activation of adenylate cyclase activity [GO:0007190]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell-cell signaling [GO:0007267]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glycoprotein [GO:1904588]; cellular response to thyrotropin-releasing hormone [GO:1905229]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; hormone-mediated signaling pathway [GO:0009755]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cold-induced thermogenesis [GO:0120162]; thyroid-stimulating hormone signaling pathway [GO:0038194]	ENSG00000165409	P16473	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHR&keywords=TSHR		
TSKU	tsukushi, small leucine rich proteoglycan	No		6.930850	NA	Secreted - unknown location	Secreted {ECO:0000250|UniProtKB:Q8CBR6}.	extracellular space [GO:0005615]	transforming growth factor beta binding [GO:0050431]	anterior commissure morphogenesis [GO:0021960]; bone growth [GO:0098868]; camera-type eye development [GO:0043010]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; ciliary body morphogenesis [GO:0061073]; corpus callosum morphogenesis [GO:0021540]; energy homeostasis [GO:0097009]; growth plate cartilage chondrocyte development [GO:0003431]; hippocampus development [GO:0021766]; inner ear receptor cell stereocilium organization [GO:0060122]; lateral ventricle development [GO:0021670]; negative regulation of myofibroblast differentiation [GO:1904761]; negative regulation of neuron projection development [GO:0010977]; negative regulation of transforming growth factor beta1 production [GO:0032911]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of hair cycle [GO:0042635]; regulation of gene expression [GO:0010468]; wound healing [GO:0042060]	ENSG00000182704	Q8WUA8	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSKU&keywords=TSKU		
TSLP	thymic stromal lymphopoietin	TBD		0.809892	NA	Secreted to blood	Secreted {ECO:0000269|PubMed:11418668}.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	cytokine activity [GO:0005125]; interleukin-7 receptor binding [GO:0005139]	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; interleukin-7-mediated signaling pathway [GO:0038111]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemokine (C-C motif) ligand 1 production [GO:0071654]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine-mediated signaling pathway [GO:0001961]; positive regulation of granulocyte colony-stimulating factor production [GO:0071657]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-13 production [GO:0032736]; positive regulation of interleukin-5 production [GO:0032754]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of mast cell activation [GO:0033005]; positive regulation of receptor signaling pathway via STAT [GO:1904894]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]	ENSG00000145777	Q969D9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSLP&keywords=TSLP		
TSPEAR	thrombospondin type laminin G domain and EAR repeats	TBD		0.478322	NA	Locally secreted	Secreted {ECO:0000250|UniProtKB:J3S6Y1}. Cell surface {ECO:0000250|UniProtKB:J3S6Y1}. Cell projection, stereocilium {ECO:0000250|UniProtKB:J3S6Y1}. Note=Secreted protein which may bind to the cell surface via a membrane receptor. {ECO:0000250|UniProtKB:J3S6Y1}.	cell surface [GO:0009986]; ciliary membrane [GO:0060170]; extracellular region [GO:0005576]; stereocilium [GO:0032420]	NA	hair cycle process [GO:0022405]; Notch signaling pathway [GO:0007219]; regulation of Notch signaling pathway [GO:0008593]; sensory perception of sound [GO:0007605]; signal transduction [GO:0007165]; tooth mineralization [GO:0034505]	ENSG00000175894	Q8WU66	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPEAR&keywords=TSPEAR		
TTC19	tetratricopeptide repeat domain 19	No		30.207061	TTC19 family	Intracellular or membrane-bound	Mitochondrion inner membrane {ECO:0000269|PubMed:21278747}.	centrosome [GO:0005813]; midbody [GO:0030496]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respirasome [GO:0070469]	NA	mitochondrial respiratory chain complex III assembly [GO:0034551]; mitotic cytokinesis [GO:0000281]	ENSG00000011295	Q6DKK2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC19&keywords=TTC19		
TTC9B	tetratricopeptide repeat domain 9B	No		0.243517	TTC9 family	Locally secreted in brain	NA	NA	NA	NA	ENSG00000174521	Q8N6N2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC9B&keywords=TTC9B		
TTLL11	tubulin tyrosine ligase like 11	No		2.760131	Tubulin--tyrosine ligase family	Intracellular or membrane-bound	Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:A4Q9F4}.	ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; microtubule [GO:0005874]	ATP binding [GO:0005524]; tubulin binding [GO:0015631]; tubulin-glutamic acid ligase activity [GO:0070740]	microtubule cytoskeleton organization [GO:0000226]; microtubule severing [GO:0051013]; protein polyglutamylation [GO:0018095]	ENSG00000175764	Q8NHH1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTLL11&keywords=TTLL11		
TTR	transthyretin	Yes		17576.729895	Transthyretin family	Secreted to blood	Secreted. Cytoplasm.	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991]	hormone activity [GO:0005179]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; thyroid hormone binding [GO:0070324]	amyloid fibril formation [GO:1990000]; extracellular matrix organization [GO:0030198]; neutrophil degranulation [GO:0043312]; purine nucleobase metabolic process [GO:0006144]; retinoid metabolic process [GO:0001523]; retinol metabolic process [GO:0042572]; thyroid hormone transport [GO:0070327]	ENSG00000118271	P02766	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR&keywords=TTR		
TUB	TUB bipartite transcription factor	No		2.712526	TUB family	Intracellular or membrane-bound	Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Secreted {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Binds phospholipid and is anchored to the plasma membrane through binding phosphatidylinositol 4,5-bisphosphate. Is released upon activation of phospholipase C. Translocates from the plasma membrane to the nucleus upon activation of guanine nucleotide-binding protein G(q) subunit alpha. Does not have a cleavable signal peptide and is secreted by a non-conventional pathway (By similarity). {ECO:0000250}.	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	G protein-coupled receptor binding [GO:0001664]; intraciliary transport particle A binding [GO:0120160]; protein-containing complex binding [GO:0044877]	intraciliary transport [GO:0042073]; phagocytosis, recognition [GO:0006910]; photoreceptor cell maintenance [GO:0045494]; positive regulation of phagocytosis [GO:0050766]; protein localization to cilium [GO:0061512]; protein localization to photoreceptor outer segment [GO:1903546]; receptor localization to non-motile cilium [GO:0097500]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; response to hormone [GO:0009725]; retina development in camera-type eye [GO:0060041]; sensory perception of sound [GO:0007605]	ENSG00000166402	P50607	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUB&keywords=TUB		
TUFT1	tuftelin 1	TBD		24.310625	Tuftelin family	Secreted - unknown location	Secreted {ECO:0000250|UniProtKB:P27628}. Note=Secreted at a very early stage of enamel formation, concentrated at the dentin-enamel junction and tightly bound to the surface of the growing crystallites. {ECO:0000250|UniProtKB:P27628}.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]	structural constituent of tooth enamel [GO:0030345]	bone mineralization [GO:0030282]; intracellular signal transduction [GO:0035556]; odontogenesis [GO:0042476]	ENSG00000143367	Q9NNX1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUFT1&keywords=TUFT1		
TULP1	TUB like protein 1	No		0.064177	TUB family	Intracellular or membrane-bound	Cytoplasm {ECO:0000269|PubMed:16303976}. Cell membrane {ECO:0000269|PubMed:16303976}; Peripheral membrane protein {ECO:0000269|PubMed:16303976}; Cytoplasmic side {ECO:0000269|PubMed:16303976}. Secreted {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Note=Detected at synapses between photoreceptor cells and second-order neurons. Does not have a cleavable signal peptide and is secreted by an alternative pathway (By similarity). {ECO:0000250}.	axon terminus [GO:0043679]; cell projection [GO:0042995]; cilium [GO:0005929]; cytosol [GO:0005829]; extracellular region [GO:0005576]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; synapse [GO:0045202]	actin filament binding [GO:0051015]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]	dendrite development [GO:0016358]; detection of light stimulus involved in visual perception [GO:0050908]; eye photoreceptor cell development [GO:0042462]; phagocytosis, recognition [GO:0006910]; photoreceptor cell maintenance [GO:0045494]; positive regulation of phagocytosis [GO:0050766]; protein localization to cilium [GO:0061512]; protein localization to photoreceptor outer segment [GO:1903546]; retina development in camera-type eye [GO:0060041]; retina homeostasis [GO:0001895]; visual perception [GO:0007601]	ENSG00000112041	O00294	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TULP1&keywords=TULP1		
TULP2	TUB like protein 2	No		0.178079	TUB family	Locally secreted in male tissues	Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway. {ECO:0000250}.	cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]	protein-containing complex binding [GO:0044877]	protein localization to cilium [GO:0061512]; visual perception [GO:0007601]	ENSG00000104804	O00295	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TULP2&keywords=TULP2		
TULP3	TUB like protein 3	No		14.551006	TUB family	Secreted - unknown location	Nucleus. Cell membrane. Cell projection, cilium {ECO:0000269|PubMed:27932497}. Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway (By similarity). Translocates from the plasma membrane to the nucleus upon activation of guanine nucleotide-binding protein G(q) subunit alpha. {ECO:0000250}.	9+0 non-motile cilium [GO:0097731]; axoneme [GO:0005930]; ciliary base [GO:0097546]; cilium [GO:0005929]; extracellular region [GO:0005576]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; intraciliary transport particle A binding [GO:0120160]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol binding [GO:0035091]; protein-containing complex binding [GO:0044877]	anterior/posterior pattern specification [GO:0009952]; bone development [GO:0060348]; brain development [GO:0007420]; bronchus morphogenesis [GO:0060434]; central nervous system neuron differentiation [GO:0021953]; embryonic camera-type eye development [GO:0031076]; embryonic digit morphogenesis [GO:0042733]; embryonic neurocranium morphogenesis [GO:0048702]; ganglion development [GO:0061548]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning [GO:0021914]; neural tube closure [GO:0001843]; protein localization to cilium [GO:0061512]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; regulation of transcription, DNA-templated [GO:0006355]; smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:0060831]	ENSG00000078246	O75386	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TULP3&keywords=TULP3		
TWSG1	twisted gastrulation BMP signaling modulator 1	Yes		27.053693	Twisted gastrulation protein family	Secreted - unknown location	Secreted {ECO:0000250}.	extracellular space [GO:0005615]	transforming growth factor beta binding [GO:0050431]	BMP signaling pathway [GO:0030509]; camera-type eye development [GO:0043010]; cell differentiation [GO:0030154]; forebrain development [GO:0030900]; hemopoiesis [GO:0030097]; mesoderm formation [GO:0001707]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of CD4-positive, alpha-beta T cell activation [GO:2000515]; negative regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000562]; negative regulation of cytokine production [GO:0001818]; negative regulation of osteoblast differentiation [GO:0045668]; ossification [GO:0001503]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; regulation of BMP signaling pathway [GO:0030510]; salivary gland morphogenesis [GO:0007435]; transforming growth factor beta receptor signaling pathway [GO:0007179]	ENSG00000128791	Q9GZX9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWSG1&keywords=TWSG1		
TXN	thioredoxin	No		509.715224	Thioredoxin family	Intracellular or membrane-bound	Nucleus {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:9108029}. Cytoplasm {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:9108029}. Secreted {ECO:0000269|PubMed:1332947}. Note=Translocates from the cytoplasm into the nucleus after phorbol 12-myristate 13-acetate induction (PMA) (PubMed:9108029). Predominantly in the cytoplasm in non irradiated cells (PubMed:11118054). Radiation induces translocation of TRX from the cytoplasm to the nucleus (PubMed:11118054). Secreted by a leaderless secretory pathway (PubMed:1332947). {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:1332947, ECO:0000269|PubMed:9108029}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	peptide disulfide oxidoreductase activity [GO:0015037]; protein disulfide oxidoreductase activity [GO:0015035]; protein-disulfide reductase activity [GO:0047134]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]	activation of protein kinase B activity [GO:0032148]; cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of protein export from nucleus [GO:0046826]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA binding [GO:0043388]; positive regulation of peptidyl-cysteine S-nitrosylation [GO:2000170]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein kinase B signaling [GO:0051897]; purinergic nucleotide receptor signaling pathway [GO:0035590]; response to nitric oxide [GO:0071731]; response to radiation [GO:0009314]	ENSG00000136810	P10599	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN&keywords=TXN		
TXNDC12	thioredoxin domain containing 12	No		68.296355	NA	Intracellular or membrane-bound	Endoplasmic reticulum lumen {ECO:0000269|PubMed:12761212}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	peptide disulfide oxidoreductase activity [GO:0015037]; protein-disulfide reductase (glutathione) activity [GO:0019153]	negative regulation of cell death [GO:0060548]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]	ENSG00000117862	O95881	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC12&keywords=TXNDC12		
TXNDC16	thioredoxin domain containing 16	No		5.355744	NA	Secreted - unknown location	Secreted {ECO:0000269|PubMed:25122923}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:21359175, ECO:0000269|PubMed:25122923}.	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]	NA	NA	ENSG00000087301	Q9P2K2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC16&keywords=TXNDC16		
TXNDC5	thioredoxin domain containing 5	No		156.527147	Protein disulfide isomerase family	Intracellular or membrane-bound	Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.	azurophil granule lumen [GO:0035578]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; lysosomal lumen [GO:0043202]	protein disulfide isomerase activity [GO:0003756]	apoptotic cell clearance [GO:0043277]; negative regulation of apoptotic process [GO:0043066]; neutrophil degranulation [GO:0043312]; post-Golgi vesicle-mediated transport [GO:0006892]	ENSG00000239264	Q8NBS9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC5&keywords=TXNDC5		
