uniprot_gn_id	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
O60241	NA	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. Adhesion G-protein coupled receptor (ADGR) subfamily. {ECO:0000305}.	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	NA	COMPBIAS 229..244;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 309..362;  /note=TSP type-1 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 364..417;  /note=TSP type-1 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 419..472;  /note=TSP type-1 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 475..528;  /note=TSP type-1 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 871..923;  /note=GPS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00098	NA	REGION 229..271;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 767..806;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1359..1385;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1423..1454;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1498..1585;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q13145	NA	SIMILARITY: Belongs to the BAMBI family. {ECO:0000305}.	BAMBI family	NA	NA	NA	NA	NA	NA	NA
P50895	NA	NA	NA	NA	NA	DOMAIN 32..142;  /note=Ig-like V-type 1; DOMAIN 147..257;  /note=Ig-like V-type 2; DOMAIN 274..355;  /note=Ig-like C2-type 1; DOMAIN 363..441;  /note=Ig-like C2-type 2; DOMAIN 448..541;  /note=Ig-like C2-type 3	NA	REGION 309..312;  /note=Interaction with laminin alpha5; REGION 579..628;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P46663	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Bradykinin receptor subfamily. BDKRB1 sub-subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB1 sub-subfamily	NA	NA	NA	NA	NA	NA	NA
P30411	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Bradykinin receptor subfamily. BDKRB2 sub-subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB2 sub-subfamily	NA	NA	NA	NA	NA	NA	NA
P36894	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 204..233;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 234..525;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 107..109;  /note=Mediates specificity for BMP ligand;  /evidence=ECO:0000269|PubMed:22799562	NA	NA
O00238	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 174..203;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 204..494;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 1..25;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q13873	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	COMPBIAS 746..768;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 872..897;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 898..918;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 937..964;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 203..504;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 593..626;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 746..770;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 872..972;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9BWV1	NA	NA	NA	NA	COMPBIAS 584..601;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 972..992;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 36..123;  /note=Ig-like C2-type 1; DOMAIN 129..213;  /note=Ig-like C2-type 2; DOMAIN 235..315;  /note=Ig-like C2-type 3; DOMAIN 323..409;  /note=Ig-like C2-type 4; DOMAIN 474..571;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 608..703;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 712..812;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 422..474;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 577..615;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 812..833;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 972..998;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P32247	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q9UKR5	NA	SIMILARITY: Belongs to the ERG28 family. {ECO:0000305}.	ERG28 family	NA	NA	NA	NA	NA	NA	NA
Q16581	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P21730	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 10..18;  /note=Required for CHIPS binding;  /evidence=ECO:0000269|PubMed:15542591; REGION 21..30;  /note=Involved in C5a binding;  /evidence=ECO:0000269|PubMed:9553099	NA	NA
Q9P296	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q5VU97	NA	SIMILARITY: Belongs to the calcium channel subunit alpha-2/delta family. {ECO:0000305}.	Calcium channel subunit alpha-2/delta family	NA	COMPBIAS 1192..1213;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 228..443;  /note=VWFA;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219; DOMAIN 453..532;  /note=Cache 1; DOMAIN 772..853;  /note=Cache 2	NA	REGION 1179..1227;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q13936	DOMAIN: Each of the four internal repeats contains five hydrophobic transmembrane segments (S1, S2, S3, S5, S6) and one positively charged transmembrane segment (S4). S4 segments probably represent the voltage-sensor and are characterized by a series of positively charged amino acids at every third position. {ECO:0000305}.; DOMAIN: Binding of intracellular calcium through the EF-hand motif inhibits the opening of the channel. {ECO:0000250|UniProtKB:P15381}.	SIMILARITY: Belongs to the calcium channel alpha-1 subunit (TC 1.A.1.11) family. CACNA1C subfamily. {ECO:0000305}.	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1C subfamily	NA	COMPBIAS 764..809;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1778..1823;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 2032..2049;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 2188..2212;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 361..364;  /note=Selectivity filter of repeat I;  /evidence=ECO:0000250|UniProtKB:P07293; MOTIF 704..707;  /note=Selectivity filter of repeat II;  /evidence=ECO:0000250|UniProtKB:P07293; MOTIF 1133..1136;  /note=Selectivity filter of repeat III;  /evidence=ECO:0000250|UniProtKB:P07293; MOTIF 1462..1465;  /note=Selectivity filter of repeat IV;  /evidence=ECO:0000250|UniProtKB:P07293	REGION 1..20;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 47..68;  /note=Calmodulin-binding;  /evidence=ECO:0000269|PubMed:22518098; REGION 73..98;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 428..445;  /note=AID/alpha-interaction domain; mediates interaction with the beta subunit;  /evidence=ECO:0000269|PubMed:15141227; REGION 449..481;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 764..861;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 829..876;  /note=Interaction with STAC2;  /evidence=ECO:0000269|PubMed:29078335; REGION 1109..1198;  /note=Dihydropyridine binding;  /evidence=ECO:0000250|UniProtKB:P07293; REGION 1478..1546;  /note=Dihydropyridine binding;  /evidence=ECO:0000250|UniProtKB:P07293; REGION 1492..1534;  /note=Phenylalkylamine binding;  /evidence=ECO:0000250|UniProtKB:P07293; REGION 1659..1686;  /note=Important for interaction with STAC1, STAC2 and STAC3;  /evidence=ECO:0000250|UniProtKB:P15381; REGION 1665..1685;  /note=Calmodulin-binding IQ region;  /evidence=ECO:0000269|PubMed:16299511, ECO:0000269|PubMed:16338416, ECO:0000269|PubMed:19279214, ECO:0000269|PubMed:20953164; REGION 1699..1718;  /note=Important for localization in at the junctional membrane;  /evidence=ECO:0000250|UniProtKB:P15381; REGION 1778..1847;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 2029..2063;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 2186..2221;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 111..408;  /note=I; REPEAT 510..756;  /note=II; REPEAT 887..1189;  /note=III; REPEAT 1226..1527;  /note=IV	NA
P30988	NA	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. {ECO:0000305}.	G-protein coupled receptor 2 family	NA	NA	NA	NA	NA	NA	NA
Q16602	NA	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. {ECO:0000305}.	G-protein coupled receptor 2 family	NA	NA	NA	NA	NA	NA	NA
P27824	NA	SIMILARITY: Belongs to the calreticulin family. {ECO:0000305}.	Calreticulin family	NA	COMPBIAS 274..326;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 327..345;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 525..546;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 547..585;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 260..345;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 276..409;  /note=P domain (Extended arm);  /evidence=ECO:0000250; REGION 278..345;  /note=4 X approximate repeats; REGION 326..359;  /note=Interaction with PPIB;  /evidence=ECO:0000250; REGION 348..405;  /note=4 X approximate repeats; REGION 503..592;  /note=Sufficient to mediate interaction with SGIP1;  /evidence=ECO:0000250; REGION 511..592;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 278..290;  /note=1-1; REPEAT 295..307;  /note=1-2; REPEAT 314..326;  /note=1-3; REPEAT 333..345;  /note=1-4; REPEAT 348..358;  /note=2-1; REPEAT 367..377;  /note=2-2; REPEAT 381..391;  /note=2-3; REPEAT 395..405;  /note=2-4	NA
P278241	NA	SIMILARITY: Belongs to the calreticulin family. {ECO:0000305}.	Calreticulin family	NA	COMPBIAS 274..326;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 327..345;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 525..546;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 547..585;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 260..345;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 276..409;  /note=P domain (Extended arm);  /evidence=ECO:0000250; REGION 278..345;  /note=4 X approximate repeats; REGION 326..359;  /note=Interaction with PPIB;  /evidence=ECO:0000250; REGION 348..405;  /note=4 X approximate repeats; REGION 503..592;  /note=Sufficient to mediate interaction with SGIP1;  /evidence=ECO:0000250; REGION 511..592;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 278..290;  /note=1-1; REPEAT 295..307;  /note=1-2; REPEAT 314..326;  /note=1-3; REPEAT 333..345;  /note=1-4; REPEAT 348..358;  /note=2-1; REPEAT 367..377;  /note=2-2; REPEAT 381..391;  /note=2-3; REPEAT 395..405;  /note=2-4	NA
Q8NEC5	NA	SIMILARITY: Belongs to the cation channel sperm-associated (TC 1.A.1.19) family. {ECO:0000305}.	Cation channel sperm-associated (TC 1.A.1.19) family	NA	COMPBIAS 1..24;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 110..131;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 198..213;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 214..237;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 245..259;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 264..283;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 284..301;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 383..405;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..37;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 71..306;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 376..412;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q03135	NA	SIMILARITY: Belongs to the caveolin family. {ECO:0000305}.	Caveolin family	NA	NA	NA	NA	REGION 2..94;  /note=Required for homooligomerization;  /evidence=ECO:0000269|PubMed:25588833; REGION 82..94;  /note=Interaction with CAVIN3;  /evidence=ECO:0000269|PubMed:25588833; REGION 131..142;  /note=Interacts with SPRY1, SPRY2, SPRY3 and SPRY4;  /evidence=ECO:0000250|UniProtKB:P49817; REGION 149..160;  /note=Interacts with SPRY1, SPRY2, and SPRY4;  /evidence=ECO:0000250|UniProtKB:P49817; REGION 167..178;  /note=Interacts with SPRY1, SPRY2, SPRY3 and SPRY4;  /evidence=ECO:0000250|UniProtKB:P49817	NA	NA
P32238	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 410..428;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 248..272;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 394..428;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P32239	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 258..285;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P32246	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P46092	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 348..362;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 328..362;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P41597	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 348..374;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P51677	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P51679	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P51681	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P51684	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P32248	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P51685	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P51686	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
O00421	DOMAIN: Lacks the conserved DRYLAIV motif in the second intracellular loop that is required for signaling of functional chemokine receptors.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 324..344;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6YHK3	NA	SIMILARITY: Belongs to the protease inhibitor I39 (alpha-2-macroglobulin) family. {ECO:0000305}.	Protease inhibitor I39 (alpha-2-macroglobulin) family	NA	NA	NA	NA	REGION 593..702;  /note=Bait region (approximate);  /evidence=ECO:0000250	NA	NA
P48509	NA	SIMILARITY: Belongs to the tetraspanin (TM4SF) family. {ECO:0000305}.	Tetraspanin (TM4SF) family	NA	NA	NA	NA	NA	NA	NA
Q8N6Q3	NA	NA	NA	NA	NA	DOMAIN 133..210;  /note=UPAR/Ly6 1; DOMAIN 325..377;  /note=UPAR/Ly6 2	NA	NA	NA	NA
Q99467	NA	SIMILARITY: Belongs to the Toll-like receptor family. {ECO:0000305}.	Toll-like receptor family	NA	NA	DOMAIN 33..53;  /note=LRRNT; DOMAIN 577..627;  /note=LRRCT	NA	NA	REPEAT 54..75;  /note=LRR 1; REPEAT 78..99;  /note=LRR 2; REPEAT 102..123;  /note=LRR 3; REPEAT 126..147;  /note=LRR 4; REPEAT 150..171;  /note=LRR 5; REPEAT 174..195;  /note=LRR 6; REPEAT 201..221;  /note=LRR 7; REPEAT 275..296;  /note=LRR 8; REPEAT 299..320;  /note=LRR 9; REPEAT 322..343;  /note=LRR 10; REPEAT 346..366;  /note=LRR 11; REPEAT 371..391;  /note=LRR 12; REPEAT 397..418;  /note=LRR 13; REPEAT 421..442;  /note=LRR 14; REPEAT 446..466;  /note=LRR 15; REPEAT 470..493;  /note=LRR 16; REPEAT 497..518;  /note=LRR 17; REPEAT 521..544;  /note=LRR 18; REPEAT 546..564;  /note=LRR 19	NA
P15391	NA	NA	NA	NA	COMPBIAS 340..355;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 403..423;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 424..438;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 444..466;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 20..113;  /note=Ig-like C2-type 1; DOMAIN 176..277;  /note=Ig-like C2-type 2	NA	REGION 329..355;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 372..497;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 513..556;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P06126	NA	NA	NA	NA	NA	DOMAIN 184..291;  /note=Ig-like	NA	REGION 90..94;  /note=Galactosylceramide binding;  /evidence=ECO:0000269|PubMed:12833155, ECO:0007744|PDB:1ONQ	NA	NA
P29016	NA	NA	NA	NA	NA	DOMAIN 185..295;  /note=Ig-like	MOTIF 329..332;  /note=Internalization signal	NA	NA	NA
P20963	DOMAIN: The ITAM domains mediate interaction with SHB.	SIMILARITY: Belongs to the CD3Z/FCER1G family. {ECO:0000305}.	CD3Z/FCER1G family	NA	COMPBIAS 83..102;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 61..89;  /note=ITAM 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00379; DOMAIN 100..128;  /note=ITAM 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00379; DOMAIN 131..159;  /note=ITAM 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00379	NA	REGION 83..111;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 128..154;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P26842	NA	NA	NA	NA	COMPBIAS 233..248;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 219..260;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 26..63;  /note=TNFR-Cys 1; REPEAT 64..104;  /note=TNFR-Cys 2; REPEAT 105..141;  /note=TNFR-Cys 3	NA
P10747	NA	NA	NA	NA	NA	DOMAIN 28..137;  /note=Ig-like V-type	NA	REGION 198..220;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
