UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
Q86U17	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q96A84	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P54315	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1379598, ECO:0000269|PubMed:19824014}.	NA	NA	NA
Q8N1041	SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Membrane {ECO:0000269|PubMed:23938203}. Note=Associates with tumor cell membrane-derived microvesicles (PubMed:23938203). {ECO:0000269|PubMed:23938203}.	NA	NA	NA
P06307	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O75356	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250}. Secreted {ECO:0000269|PubMed:10400613}.	NA	NA	NA
A6NI73	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12393390}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:12393390}.	NA	TOPO_DOM 42..268;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 290..299;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 269..289;  /note=Helical;  /evidence=ECO:0000255
O75093	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q86Y78	SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:19653121}. Cell membrane {ECO:0000250|UniProtKB:Q66IA6}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q66IA6}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:D3ZTT2}. Membrane raft {ECO:0000250|UniProtKB:Q66IA6}.	NA	NA	NA
Q5VTB9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q6PDX6}.	NA	NA	NA
Q86XS5	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q86TE4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
A6H8M9	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 17..686;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 708..788;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 687..707;  /note=Helical;  /evidence=ECO:0000255
P02462	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:P02463}.	NA	NA	NA
Q6MZM9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P05161	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22859821}. Secreted {ECO:0000269|PubMed:22859821}. Note=Exists in three distinct states: free within the cell, released into the extracellular space, or conjugated to target proteins.	NA	NA	NA
Q6PKH6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q86UW8	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q6Y288	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:16899492}; Single-pass type II membrane protein {ECO:0000269|PubMed:16899492}.	NA	TOPO_DOM 1..6;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 28..498;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 7..27;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q6UX39	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9D3J8}.	NA	NA	NA
Q6ZMP0	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q3UTY6}.	NA	NA	NA
P047451	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q96T21	SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion {ECO:0000269|PubMed:19004874}.	NA	NA	NA
Q9UGM3	SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Note=Some isoforms may be membrane-bound. Localized to the lumenal aspect of crypt cells in the small intestine. In the colon, seen in the lumenal aspect of surface epithelial cells. Formed in the ducts of von Ebner gland, and released into the fluid bathing the taste buds contained in the taste papillae (By similarity). {ECO:0000250}.	NA	NA	NA
Q6JVE6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q5SZI1	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 26..233;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 251..272;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 234..250;  /note=Helical;  /evidence=ECO:0000255
Q6UXQ4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q7RTY7	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q05707	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P32018}.	NA	NA	NA
Q5R387	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6UX52	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28978694}.	NA	NA	NA
Q496H8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.	NA	NA	NA
Q6UXN2	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:24975946}.	NA	NA	NA
P56706	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.	NA	NA	NA
Q8TD33	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q5T1H1	SUBCELLULAR LOCATION: Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:27737822}. Cell projection, cilium {ECO:0000269|PubMed:27737822, ECO:0000269|PubMed:27846257}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:27846257}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:27846257}. Secreted, extracellular space, extracellular matrix, interphotoreceptor matrix {ECO:0000269|PubMed:27737822}. Note=Localizes to discrete puncta at, or adjacent to, the photoreceptor connecting cilium (PubMed:27737822). Highly expressed in cone photoreceptor outer segments (PubMed:27737822). Weakly expressed in rod photoreceptor outer segments (By similarity). May localize to the cilium axoneme (PubMed:27846257). May also be secreted into the interphotoreceptor extracellular matrix (PubMed:27737822). {ECO:0000250|UniProtKB:A0A2K5V015, ECO:0000269|PubMed:27737822, ECO:0000269|PubMed:27846257}.	NA	NA	NA
P29400	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	NA	NA	NA
O00468	SUBCELLULAR LOCATION: [Isoform 1]: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:20551380}. Note=Synaptic basal lamina at the neuromuscular junction. {ECO:0000250|UniProtKB:P31696}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell junction, synapse {ECO:0000250|UniProtKB:A2ASQ1}. Cell membrane {ECO:0000250|UniProtKB:A2ASQ1}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:A2ASQ1}.	NA	NA	NA
Q6ZRI0	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:O55225}; Peripheral membrane protein {ECO:0000250|UniProtKB:O55225}; Extracellular side {ECO:0000250|UniProtKB:O55225}. Secreted, extracellular space {ECO:0000250|UniProtKB:O55225}. Note=Found in fiber-like structures during the maturation process of the tectorial membrane. {ECO:0000250|UniProtKB:O55225}.	NA	NA	NA
Q6UW32	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16890402, ECO:0000269|PubMed:21454693}.	NA	NA	NA
Q075Z2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P21754	SUBCELLULAR LOCATION: [Processed zona pellucida sperm-binding protein 3]: Zona pellucida {ECO:0000269|PubMed:29895852}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P48833}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 23..387;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 409..424;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 388..408;  /note=Helical;  /evidence=ECO:0000255
Q6UWK7	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25351403, ECO:0000269|PubMed:25585381}.	NA	NA	NA
P01563	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P05154	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:1725227, ECO:0000269|PubMed:18467335, ECO:0000269|PubMed:7521127, ECO:0000269|PubMed:8536714, ECO:0000269|PubMed:9510955, ECO:0000269|PubMed:9556620}. Note=Localized on the plasma membrane overlying the acrosomal head of spermatozoa of ependymal spermatozoa and ejaculated sperm. Localized at the equatorial segment of acrosome-reacted spematozoa. Localized in alpha granules in resting platelets and on the external plasma membrane and within the surface-connected cannalicular system in activated platelets.	NA	NA	NA
P60985	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15140226}.	NA	NA	NA
Q9NR71	SUBCELLULAR LOCATION: [Neutral ceramidase]: Cell membrane {ECO:0000269|PubMed:15845354}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q91XT9}. Membrane raft {ECO:0000250|UniProtKB:Q9JHE3}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q91XT9}. Membrane, caveola {ECO:0000250|UniProtKB:Q9JHE3}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q91XT9}. Golgi apparatus membrane {ECO:0000269|PubMed:30154232}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q91XT9}. Mitochondrion {ECO:0000269|PubMed:10781606}. Secreted, extracellular exosome {ECO:0000269|PubMed:24798654}. Note=Enriched in exosomes upon stimulation by cytokine (PubMed:24798654). Enriched in caveolae and lipid rafts (By similarity). The localization to the mitochondrion could not be confirmed (PubMed:15845354). {ECO:0000250|UniProtKB:Q9JHE3, ECO:0000269|PubMed:15845354, ECO:0000269|PubMed:24798654}.; SUBCELLULAR LOCATION: [Neutral ceramidase soluble form]: Secreted {ECO:0000250|UniProtKB:Q91XT9}.	NA	TOPO_DOM 1..12;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 34..780;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 13..33;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q6UXB1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P60153	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P83859	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P61366	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14523025}.	NA	NA	NA
Q2TAL6	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250}. Cell junction, synapse {ECO:0000250}.	NA	NA	NA
Q9UBM4	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:18164633}.	NA	NA	NA
P51888	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
Q9NZK7	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10681567, ECO:0000269|PubMed:11922621}. Cytoplasm {ECO:0000269|PubMed:11922621}. Note=Through binding to heparan sulfate proteoglycan, may be localized to cytoplasmic compartments enriched in anionic phospholipids. {ECO:0000269|PubMed:11922621}.	NA	NA	NA
Q5JS37	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6HA08	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q6HA09}. Cell membrane {ECO:0000250|UniProtKB:Q6HA09}. Cytoplasmic vesicle, secretory vesicle, Cortical granule {ECO:0000250|UniProtKB:Q6HA09}. Note=Probably exocytosed from cortical granules during post-fertilization. Detected throughout the ooplasm of germinal vesicle stage oocytes in early bilaminar secondary follicles at postnatal (PN) day 3. Detected in the microvillar domain of the oolemma in arrested ovulated secondary oocytes and in the first polar body prior to fertilization. Upon fertilization, detected in the perivitelline space (PVS) and occasionally on the oolemma in 2-cell through morulae stages. Colocalizes with SPACA3 at the microvillar domain of the oolemma and in the perivitelline space (PVS). {ECO:0000250|UniProtKB:Q6HA09}.	NA	NA	NA
Q9GZU5	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q765I0	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q6XZB0	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:12963729}. Secreted {ECO:0000269|PubMed:12963729}. Note=May associate with lipid draft. {ECO:0000269|PubMed:12963729}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:12963729}. Secreted {ECO:0000269|PubMed:12963729}. Note=May associate with lipid draft. {ECO:0000269|PubMed:12963729}.	NA	NA	NA
Q6UWP8	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q99706	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Early endosome membrane {ECO:0000269|PubMed:16366734}.	NA	TOPO_DOM 22..242;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 264..377;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 243..263;  /note=Helical;  /evidence=ECO:0000255
P0DN861	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16123088}.	NA	NA	NA
P78509	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
P05090	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q6UX27	SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:22960280}.	NA	TOPO_DOM 17..135;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 157..236;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 136..156;  /note=Helical;  /evidence=ECO:0000255
Q7RTY5	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q5JTB6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q99584	SUBCELLULAR LOCATION: Cytoplasm. Secreted. Note=Secretion is mediated by exposure to stress and requires copper ions.	NA	NA	NA
A6NNL5	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6UX46	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6UWF9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6UXB2	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23115081}.	NA	NA	NA
P09429	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12231511, ECO:0000269|PubMed:17114460, ECO:0000269|PubMed:20819940, ECO:0000269|PubMed:22869893, ECO:0000269|PubMed:27362237, ECO:0000269|PubMed:29618516, ECO:0000269|Ref.71}. Chromosome {ECO:0000250|UniProtKB:P10103, ECO:0000250|UniProtKB:P63159, ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:11154118, ECO:0000269|PubMed:12231511, ECO:0000269|PubMed:17114460, ECO:0000269|PubMed:20819940, ECO:0000269|PubMed:22869893, ECO:0000269|PubMed:29618516, ECO:0000269|Ref.71}. Secreted {ECO:0000250|UniProtKB:P63158, ECO:0000269|PubMed:12231511, ECO:0000269|PubMed:14532127, ECO:0000269|PubMed:15944249, ECO:0000269|PubMed:19811284, ECO:0000269|PubMed:22869893, ECO:0000269|Ref.71}. Cell membrane {ECO:0000250|UniProtKB:P63158, ECO:0000250|UniProtKB:P63159, ECO:0000269|PubMed:11154118}; Peripheral membrane protein {ECO:0000250|UniProtKB:P63158, ECO:0000250|UniProtKB:P63159, ECO:0000269|PubMed:11154118}; Extracellular side {ECO:0000250|UniProtKB:P63158, ECO:0000250|UniProtKB:P63159, ECO:0000269|PubMed:11154118}. Endosome {ECO:0000250|UniProtKB:P63158}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250|UniProtKB:P63158}. Note=In basal state predominantly nuclear. Shuttles between the cytoplasm and the nucleus (PubMed:12231511, PubMed:17114460). Translocates from the nucleus to the cytoplasm upon autophagy stimulation (PubMed:20819940). Release from macrophages in the extracellular milieu requires the activation of NLRC4 or NLRP3 inflammasomes (By similarity). Passively released to the extracellular milieu from necrotic cells by diffusion, involving the fully reduced HGMB1 which subsequently gets oxidized (PubMed:19811284). Also released from apoptotic cells (PubMed:16855214, PubMed:18631454). Active secretion from a variety of immune and non-immune cells such as macrophages, monocytes, neutrophils, dendritic cells and natural killer cells in response to various stimuli such as LPS and cytokines involves a nonconventional secretory process via secretory lysosomes (PubMed:12231511, PubMed:14532127, PubMed:15944249). Secreted by plasma cells in response to LPS (By similarity). Found on the surface of activated platelets (PubMed:11154118). An increased chromatin association is observed when associated with the adenovirus protein pVII (PubMed:27362237). {ECO:0000250|UniProtKB:P63158, ECO:0000269|PubMed:11154118, ECO:0000269|PubMed:12231511, ECO:0000269|PubMed:14532127, ECO:0000269|PubMed:15944249, ECO:0000269|PubMed:16855214, ECO:0000269|PubMed:17114460, ECO:0000269|PubMed:18631454, ECO:0000269|PubMed:19811284, ECO:0000269|PubMed:20819940, ECO:0000269|PubMed:27362237, ECO:0000305|PubMed:20123072}.	NA	NA	NA
Q9NPH3	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	NA	TOPO_DOM 21..367;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 389..570;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 368..388;  /note=Helical;  /evidence=ECO:0000255
Q9BQ16	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P01011	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P14091	SUBCELLULAR LOCATION: Endosome {ECO:0000269|PubMed:7983070}. Note=The proenzyme is localized to the endoplasmic reticulum and Golgi apparatus, while the mature enzyme is localized to the endosome.	NA	NA	NA
Q6UW10	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:22768197}. Cytoplasmic vesicle, secretory vesicle {ECO:0000269|PubMed:22768197}. Golgi apparatus {ECO:0000269|PubMed:22768197}.	NA	NA	NA
P62937	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26095851}. Secreted {ECO:0000269|PubMed:16527992}. Nucleus {ECO:0000269|PubMed:25678563}. Note=Secretion occurs in response to oxidative stress in vascular smooth muscle through a vesicular secretory pathway that includes Rho GTPase signaling, actin remodeling, and myosin II activation. {ECO:0000269|PubMed:16527992}.	NA	NA	NA
P0DN87	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16123088}.	NA	NA	NA
Q9NZ94	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Note=Detected at both glutamatergic and GABAergic synapses. {ECO:0000250}.	NA	TOPO_DOM 38..709;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 731..848;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 710..730;  /note=Helical;  /evidence=ECO:0000255
P08174	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Lipid-anchor, GPI-anchor.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 6]: Cell membrane {ECO:0000305|PubMed:16503113}; Lipid-anchor, GPI-anchor {ECO:0000305|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 7]: Cell membrane {ECO:0000305|PubMed:16503113}; Lipid-anchor, GPI-anchor {ECO:0000305|PubMed:16503113}.	NA	NA	NA
Q96CW9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21946559, ECO:0000269|PubMed:31668703}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:21946559}; Extracellular side {ECO:0000269|PubMed:21946559, ECO:0000269|PubMed:31668703}.	NA	NA	NA
Q8IZ26	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	NA	NA	NA
P24158	SUBCELLULAR LOCATION: Cytoplasmic granule {ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:2033050, ECO:0000269|PubMed:3198760, ECO:0000269|PubMed:7897245, ECO:0000305|PubMed:17244676}. Secreted {ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:28240246}. Cell membrane {ECO:0000269|PubMed:17244676, ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:22266279, ECO:0000269|PubMed:28240246}; Peripheral membrane protein {ECO:0000269|PubMed:17244676, ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:22266279, ECO:0000269|PubMed:28240246}; Extracellular side {ECO:0000269|PubMed:17244676, ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:22266279, ECO:0000269|PubMed:28240246}. Membrane raft {ECO:0000269|PubMed:21193407}; Peripheral membrane protein {ECO:0000269|PubMed:21193407}; Extracellular side {ECO:0000269|PubMed:21193407}. Note=Localizes predominantly to azurophil granules (primary secretory granules) in neutrophils (PubMed:2033050, PubMed:3198760, PubMed:7897245, PubMed:18462208). Secreted upon neutrophil stimulation by TNF-alpha, lipopolysaccharide (LPS), fMLP and CXCL8/IL8 or during neutrophil transmigration (PubMed:22266279, PubMed:28240246). Following secretion tethered to the cell membrane by CD177 (PubMed:18462208, PubMed:22266279). {ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:2033050, ECO:0000269|PubMed:22266279, ECO:0000269|PubMed:28240246, ECO:0000269|PubMed:3198760, ECO:0000269|PubMed:7897245}.	NA	NA	NA
A6NHN6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O43320	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O54769}.	NA	NA	NA
Q8IWU5	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250}. Golgi apparatus, Golgi stack {ECO:0000250}. Cell surface {ECO:0000250}. Note=Also localized on the cell surface. {ECO:0000250}.	NA	NA	NA
P24043	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.	NA	NA	NA
Q6UXT8	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8IZC6	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix. Note=Found on some small banded collagen fibrils and meshworks. {ECO:0000250}.	NA	NA	NA
P17900	SUBCELLULAR LOCATION: Lysosome.	NA	NA	NA
Q6UWE3	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6IE38	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6UY27	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q13751	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	NA	NA	NA
Q92520	SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cytoplasmic vesicle {ECO:0000269|PubMed:16959614}. Note=Cytoplasmic in some cancer cells.	NA	NA	NA
P49662	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:23661706}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15123740, ECO:0000269|PubMed:23661706}; Peripheral membrane protein {ECO:0000269|PubMed:23661706}; Cytoplasmic side {ECO:0000269|PubMed:23661706}. Mitochondrion {ECO:0000269|PubMed:15123740, ECO:0000269|PubMed:23661706}. Inflammasome {ECO:0000269|PubMed:25119034, ECO:0000269|PubMed:26508369}. Secreted {ECO:0000269|PubMed:22246630}. Note=Predominantly localizes to the endoplasmic reticulum (ER). Association with the ER membrane requires TMEM214 (PubMed:15123740). Released in the extracellular milieu by keratinocytes following UVB irradiation (PubMed:22246630). {ECO:0000269|PubMed:15123740, ECO:0000269|PubMed:22246630}.	NA	NA	NA
Q495W5	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.	NA	TOPO_DOM 1..7;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 25..492;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 8..24;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q9H1A3	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000305|PubMed:33563959}. Mitochondrion {ECO:0000305|PubMed:33563959}. Note=Colocalizes with membranous compartments such as the endoplasmic reticulum and mitochondria. {ECO:0000269|PubMed:33563959}.	NA	NA	NA
Q8IZI9	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12483210}.	NA	NA	NA
P01009	SUBCELLULAR LOCATION: Secreted. Endoplasmic reticulum. Note=The S and Z allele are not secreted effectively and accumulate intracellularly in the endoplasmic reticulum.; SUBCELLULAR LOCATION: [Short peptide from AAT]: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P20231	SUBCELLULAR LOCATION: Secreted. Note=Released from the secretory granules upon mast cell activation.	NA	NA	NA
Q8NEV9	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12121660}. Note=Does not seem to be secreted without coexpression of EBI3.	NA	NA	NA
Q02747	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q7Z2W9	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.	NA	NA	NA
Q6UXB3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.	NA	NA	NA
P20813	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.	NA	NA	NA
P24903	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:10383923}; Peripheral membrane protein {ECO:0000305|PubMed:10383923}. Microsome membrane {ECO:0000269|PubMed:10383923}; Peripheral membrane protein {ECO:0000269|PubMed:10383923}.	NA	NA	NA
P04085	SUBCELLULAR LOCATION: Secreted. Note=Released by platelets upon wounding.	NA	NA	NA
Q9UBC7	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P51124	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule. Note=Granules of large granular lymphocytes.	NA	NA	NA
Q14031	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	NA	NA	NA
